THERM_FPGA,THERM_DCB,VMON_6V,VMON_3V7,VMON_1V8,VMON_3V3D,VMON_2V5D,VMON_1V2D,VMON_VCC_FLASH0,VMON_VCC_FLASH1,VMON_VCC_FLASH2,VMON_VCC_FLASH3,VMON_3V3_HK,VMON_GND,GND_RES,GND_RES2,SPE_P5_V,SPE_P5_C,SPE_N5_V,SPE_N5_C,SPE_1VA8_V,SPE_1VA8_C,SPE_1VAD8_V,SPE_1VAD8_C,SPE_3VD3_V,SPE_3VD3_C,SPE_2VD5_V,SPE_2VD5_C,SPE_1VD8_V,SPE_1VD8_C,SPE_1VD5_V,SPE_1VD5_C,SPE_1VD0_V,SPE_1VD0_C,SPE_FPGA_T,SPE_ADC0_T,SPE_ADC1_T,PFPS_DCB_1V8,PFPS_DCB_3V7,PFPS_DCB_5V,PFPS_SPE_1V5,PFPS_SPE_2V3,PFPS_SPE_3V6,PFPS_SPE_P5V5,PFPS_SPE_N5V5,PFPS_MOT_A,PFPS_PA3_T,PFPS_PA2_T,PFPS_PA1_T,PFPS_PA0_T,PFPS_CAR_T,PFPS_PFPS_T,PFPS_BAT_T,VMON_PDU_COMMS,VMON_PDU_PFPS,VMON_PDU_CAROUSEL,ADC_PWR
49.171,47.712,5.58,4.018,1.874,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.15,0.131,-4.975,0.108,1.901,0.2,1.909,0.187,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,63.022,56.123,53.598,968,1392,1417,1246,1316,1685,1389,1390,15,45.167,45.654,45.654,46.142,2487,790,2486,593,31,0,1
49.224,47.764,5.58,4.018,1.874,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.15,0.127,-4.986,0.104,1.901,0.2,1.909,0.184,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,63.279,56.123,53.803,968,1392,1417,1247,1317,1688,1390,1390,15,45.167,45.654,45.654,46.142,2487,789,2486,594,31,0,1
49.33,47.815,5.58,4.016,1.872,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.163,0.117,-4.996,0.093,1.901,0.2,1.911,0.18,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.011,0.002,63.279,56.34,53.803,967,1391,1416,1187,1311,1669,1386,1386,15,44.681,45.654,45.167,45.654,2486,787,2486,591,37,0,1
49.383,47.867,5.58,4.018,1.874,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.163,0.12,-4.996,0.096,1.901,0.2,1.909,0.183,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,63.279,56.34,53.803,968,1392,1417,1247,1317,1687,1391,1391,15,45.167,45.654,45.654,46.142,2487,787,2486,593,31,0,1
49.436,47.918,5.58,4.018,1.874,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.163,0.122,-4.986,0.098,1.901,0.2,1.909,0.184,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,63.537,56.34,54.008,968,1392,1417,1246,1316,1685,1390,1391,15,45.167,46.142,45.654,46.142,2487,786,2486,590,31,0,1
49.489,48.022,5.58,4.016,1.872,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.15,0.126,-4.986,0.103,1.901,0.2,1.909,0.186,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.011,0.002,63.537,56.559,54.008,967,1391,1416,1185,1311,1670,1385,1385,15,44.681,45.654,45.167,45.654,2486,784,2485,591,38,0,1
49.542,48.073,5.582,4.018,1.874,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.15,0.131,-4.975,0.107,1.901,0.2,1.906,0.191,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,63.797,56.559,54.008,968,1392,1417,1246,1316,1686,1389,1390,15,45.167,45.654,45.654,46.142,2486,784,2486,592,31,0,1
49.595,48.125,5.58,4.018,1.874,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.15,0.132,-4.975,0.108,1.901,0.2,1.906,0.19,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,63.797,56.778,54.215,968,1392,1417,1246,1316,1686,1389,1390,15,45.167,46.142,45.654,46.142,2486,783,2486,592,31,0,1
49.702,48.177,5.58,4.016,1.871,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.163,0.117,-4.996,0.093,1.901,0.2,1.911,0.178,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.011,0.002,63.797,56.778,54.423,967,1391,1417,1186,1312,1670,1386,1386,15,44.681,45.654,45.167,45.654,2486,782,2485,590,37,0,1
49.755,48.281,5.582,4.018,1.873,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.163,0.117,-4.996,0.093,1.901,0.2,1.911,0.18,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,64.059,56.778,54.215,968,1392,1418,1246,1317,1687,1391,1391,15,45.167,46.142,46.142,46.142,2486,782,2487,594,31,0,1
49.808,48.333,5.58,4.018,1.873,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.163,0.12,-4.996,0.096,1.901,0.2,1.911,0.183,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,64.059,56.778,54.215,968,1392,1418,1246,1317,1686,1391,1391,15,45.167,46.142,45.654,46.142,2487,781,2486,596,31,0,1
49.862,48.385,5.58,4.016,1.871,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.15,0.123,-4.986,0.1,1.901,0.2,1.909,0.184,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.011,0.002,64.323,56.999,54.423,967,1391,1417,1186,1312,1671,1385,1386,15,44.681,45.654,45.654,45.654,2486,779,2485,590,38,0,1
49.915,48.437,5.58,4.018,1.873,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.15,0.126,-4.986,0.102,1.901,0.2,1.909,0.185,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,64.323,56.999,54.423,968,1392,1418,1246,1316,1685,1390,1390,15,45.167,46.142,46.142,46.142,2486,779,2486,592,31,0,1
49.969,48.489,5.582,4.018,1.873,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.15,0.13,-4.975,0.107,1.901,0.2,1.909,0.187,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,64.323,56.999,54.423,968,1392,1418,1246,1317,1687,1390,1390,15,45.167,46.142,46.142,46.142,2486,778,2486,592,31,0,1
50.022,48.541,5.58,4.016,1.871,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.136,0.13,-4.975,0.106,1.901,0.2,1.909,0.185,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.011,0.002,64.323,57.221,54.632,967,1391,1417,1185,1311,1668,1384,1385,15,44.681,45.654,45.654,45.654,2486,777,2485,592,38,0,1
50.076,48.593,5.582,4.018,1.873,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.163,0.117,-4.996,0.093,1.901,0.2,1.909,0.189,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,64.589,57.221,54.632,968,1392,1418,1245,1316,1685,1391,1391,15,45.167,46.142,46.142,46.142,2487,777,2486,592,31,0,1
50.13,48.646,5.582,4.018,1.873,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.163,0.117,-4.996,0.094,1.901,0.2,1.906,0.189,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,64.589,57.221,54.632,968,1392,1418,1245,1317,1688,1391,1391,15,45.167,46.142,46.142,46.142,2486,776,2486,594,31,0,1
50.183,48.698,5.58,4.014,1.872,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.15,0.117,-4.986,0.094,1.901,0.2,1.904,0.191,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.011,0.002,64.589,57.445,54.841,967,1391,1417,1183,1311,1668,1385,1386,15,45.167,45.654,45.654,46.142,2485,775,2485,592,38,0,1
50.237,48.75,5.582,4.018,1.873,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.163,0.117,-4.996,0.094,1.901,0.2,1.906,0.193,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,64.857,57.445,54.632,968,1392,1418,1245,1316,1687,1391,1391,15,45.654,46.142,46.142,46.631,2486,775,2486,589,31,0,1
50.291,48.803,5.582,4.018,1.874,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.163,0.118,-4.996,0.095,1.901,0.2,1.904,0.194,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,64.857,57.445,54.841,968,1392,1418,1245,1316,1686,1391,1391,15,45.167,46.142,46.142,46.631,2487,774,2486,592,31,0,1
50.345,48.855,5.58,4.014,1.873,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.15,0.12,-4.986,0.097,1.901,0.2,1.904,0.194,3.36,0.0,2.548,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,64.857,57.445,54.841,968,1392,1418,1244,1316,1669,1385,1386,14,45.167,45.654,45.654,46.142,2485,773,2485,589,38,0,1
