THERM_FPGA,THERM_DCB,VMON_6V,VMON_3V7,VMON_1V8,VMON_3V3D,VMON_2V5D,VMON_1V2D,VMON_VCC_FLASH0,VMON_VCC_FLASH1,VMON_VCC_FLASH2,VMON_VCC_FLASH3,VMON_3V3_HK,VMON_GND,GND_RES,GND_RES2,SPE_P5_V,SPE_P5_C,SPE_N5_V,SPE_N5_C,SPE_1VA8_V,SPE_1VA8_C,SPE_1VAD8_V,SPE_1VAD8_C,SPE_3VD3_V,SPE_3VD3_C,SPE_2VD5_V,SPE_2VD5_C,SPE_1VD8_V,SPE_1VD8_C,SPE_1VD5_V,SPE_1VD5_C,SPE_1VD0_V,SPE_1VD0_C,SPE_FPGA_T,SPE_ADC0_T,SPE_ADC1_T,PFPS_DCB_1V8,PFPS_DCB_3V7,PFPS_DCB_5V,PFPS_SPE_1V5,PFPS_SPE_2V3,PFPS_SPE_3V6,PFPS_SPE_P5V5,PFPS_SPE_N5V5,PFPS_MOT_A,PFPS_PA3_T,PFPS_PA2_T,PFPS_PA1_T,PFPS_PA0_T,PFPS_CAR_T,PFPS_PFPS_T,PFPS_BAT_T,VMON_PDU_COMMS,VMON_PDU_PFPS,VMON_PDU_CAROUSEL,ADC_PWR
-3.92,-5.162,5.52,4.012,1.913,3.248,2.453,1.197,0.0,0.0,0.0,0.0,3.242,0.0,0.0,0.0,5.19,0.111,-4.986,0.087,1.909,0.196,1.916,0.181,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,18.352,13.439,12.052,966,1389,1403,1248,1288,1641,1378,1381,17,-10.146,-7.359,-8.557,-7.759,2498,2011,2499,673,28,0,1
-3.869,-5.109,5.521,4.01,1.911,3.248,2.453,1.197,0.0,0.0,0.0,0.0,3.242,0.0,0.0,0.0,5.177,0.113,-4.986,0.088,1.909,0.196,1.914,0.184,3.365,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.013,0.002,18.468,13.439,12.178,965,1388,1402,1197,1285,1630,1374,1377,17,-10.146,-7.759,-8.955,-7.759,2497,2008,2498,671,34,0,1
-3.767,-5.005,5.521,4.012,1.913,3.248,2.453,1.197,0.0,0.0,0.0,0.0,3.242,0.0,0.0,0.0,5.177,0.117,-4.986,0.092,1.909,0.196,1.914,0.186,3.365,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,18.584,13.439,12.178,966,1389,1403,1248,1288,1642,1378,1381,17,-10.146,-7.359,-8.158,-7.359,2498,2006,2499,667,28,0,1
-3.665,-4.953,5.521,4.012,1.913,3.248,2.453,1.197,0.0,0.0,0.0,0.0,3.242,0.0,0.0,0.0,5.177,0.12,-4.975,0.095,1.909,0.196,1.914,0.187,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,18.701,13.565,12.178,966,1389,1403,1249,1289,1643,1378,1381,17,-9.749,-7.359,-8.158,-7.759,2498,2004,2499,669,28,0,1
-3.614,-4.848,5.523,4.008,1.912,3.248,2.453,1.197,0.0,0.0,0.0,0.0,3.242,0.0,0.0,0.0,5.163,0.124,-4.975,0.099,1.909,0.196,1.911,0.191,3.365,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.013,0.002,18.817,13.565,12.178,965,1388,1402,1196,1284,1628,1373,1376,17,-10.146,-7.359,-8.557,-7.759,2497,2000,2498,669,35,0,1
-3.513,-4.796,5.521,4.012,1.913,3.248,2.453,1.197,0.0,0.0,0.0,0.0,3.242,0.0,0.0,0.0,5.163,0.127,-4.975,0.102,1.909,0.196,1.911,0.192,3.365,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,18.817,13.69,12.305,966,1389,1403,1248,1288,1643,1377,1380,17,-9.353,-6.958,-8.158,-7.359,2498,1998,2499,671,29,0,1
-3.411,-4.692,5.523,4.012,1.912,3.248,2.453,1.197,0.0,0.0,0.0,0.0,3.242,0.0,0.0,0.0,5.177,0.124,-4.975,0.099,1.909,0.196,1.914,0.187,3.365,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,18.934,13.69,12.305,966,1389,1403,1249,1289,1643,1377,1380,17,-9.353,-6.958,-8.158,-6.958,2498,1995,2499,668,28,0,1
-3.31,-4.589,5.523,4.01,1.911,3.248,2.453,1.197,0.0,0.0,0.0,0.0,3.242,0.0,0.0,0.0,5.177,0.112,-4.986,0.087,1.909,0.196,1.916,0.183,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.013,0.002,19.05,13.816,12.431,965,1388,1402,1198,1285,1629,1375,1378,17,-9.749,-7.359,-8.158,-7.359,2497,1992,2498,670,34,0,1
-3.209,-4.485,5.523,4.012,1.912,3.248,2.453,1.197,0.0,0.0,0.0,0.0,3.242,0.0,0.0,0.0,5.19,0.115,-4.986,0.09,1.909,0.196,1.914,0.186,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,19.167,13.816,12.431,966,1389,1403,1248,1289,1643,1378,1381,17,-9.353,-6.958,-7.759,-7.359,2498,1990,2499,671,28,0,1
-3.059,-4.382,5.523,4.01,1.912,3.248,2.453,1.197,0.0,0.0,0.0,0.0,3.242,0.0,0.0,0.0,5.177,0.117,-4.986,0.092,1.909,0.196,1.914,0.187,3.365,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,19.283,13.941,12.557,966,1389,1403,1249,1289,1644,1378,1381,17,-9.353,-6.958,-7.759,-6.958,2498,1987,2499,673,28,0,1
-2.958,-4.279,5.523,4.01,1.911,3.248,2.453,1.197,0.0,0.0,0.0,0.0,3.242,0.0,0.0,0.0,5.177,0.121,-4.975,0.096,1.909,0.196,1.914,0.188,3.365,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.013,0.002,19.283,14.067,12.557,965,1388,1403,1196,1284,1629,1374,1376,17,-9.353,-6.958,-8.158,-7.359,2497,1984,2498,667,34,0,1
-2.858,-4.176,5.523,4.012,1.912,3.248,2.453,1.197,0.0,0.0,0.0,0.0,3.242,0.0,0.0,0.0,5.177,0.124,-4.975,0.1,1.909,0.196,1.914,0.19,3.365,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,19.4,14.067,12.683,966,1389,1403,1248,1289,1644,1377,1380,17,-9.353,-6.557,-7.759,-6.958,2498,1982,2499,669,28,0,1
-2.708,-4.073,5.523,4.012,1.913,3.248,2.453,1.197,0.0,0.0,0.0,0.0,3.242,0.0,0.0,0.0,5.177,0.126,-4.975,0.101,1.909,0.196,1.914,0.19,3.365,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,19.517,14.192,12.683,966,1389,1403,1248,1288,1642,1377,1380,17,-8.955,-6.557,-7.759,-6.958,2498,1980,2499,668,28,0,1
-2.608,-3.971,5.523,4.01,1.912,3.248,2.453,1.197,0.0,0.0,0.0,0.0,3.242,0.0,0.0,0.0,5.177,0.111,-4.986,0.087,1.909,0.196,1.916,0.181,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.013,0.002,19.517,14.192,12.809,965,1388,1402,1197,1286,1631,1375,1377,17,-9.353,-6.958,-7.759,-6.958,2497,1977,2498,666,34,0,1
-2.459,-3.869,5.523,4.012,1.912,3.248,2.453,1.197,0.0,0.0,0.0,0.0,3.242,0.0,0.0,0.0,5.19,0.112,-4.986,0.087,1.909,0.196,1.916,0.184,3.365,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,19.633,14.318,12.809,966,1389,1403,1249,1289,1643,1378,1381,17,-8.955,-6.557,-7.359,-6.958,2498,1975,2499,670,28,0,1
-2.36,-3.767,5.523,4.012,1.912,3.248,2.453,1.197,0.0,0.0,0.0,0.0,3.242,0.0,0.0,0.0,5.19,0.115,-4.986,0.09,1.909,0.196,1.916,0.185,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,19.75,14.318,12.936,966,1389,1403,1249,1290,1645,1379,1381,17,-8.557,-6.557,-7.359,-6.958,2497,1973,2499,670,28,0,1
-2.211,-3.614,5.523,4.01,1.91,3.248,2.453,1.197,0.0,0.0,0.0,0.0,3.242,0.0,0.0,0.0,5.177,0.118,-4.975,0.093,1.909,0.196,1.914,0.187,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.013,0.002,19.866,14.443,12.936,965,1388,1403,1197,1285,1631,1374,1377,17,-8.955,-6.557,-7.759,-6.958,2497,1970,2498,668,35,0,1
-2.113,-3.513,5.523,4.012,1.913,3.248,2.453,1.197,0.0,0.0,0.0,0.0,3.242,0.0,0.0,0.0,5.177,0.121,-4.975,0.096,1.909,0.196,1.914,0.189,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,19.866,14.443,13.061,966,1389,1403,1249,1289,1643,1378,1381,17,-8.557,-6.155,-7.359,-6.557,2497,1969,2499,671,29,0,1
