CPT,PC1,PC2,PC3,PC4,PC5
CPT2,-0.10300341746725412,-0.15836176074296796,0.31296963103049,0.06468153119425152,-0.05304575337332699
CPT3,0.440026356867828,-0.08996211735055802,0.17203676519498792,0.10553495499514337,0.005743021836922676
CPT4,1.561252066970082,-0.022627784859068748,-0.07403858848561168,0.10177221559549218,0.025740108610178343
CPT5,-1.594901337645423,0.2506368081405797,0.03132805365868513,0.06939743266432793,-0.0018249714090973958
CPT6,1.656968337468829,0.04127346071668957,-0.1752319708482505,0.027212095849414128,0.022902470956082818
CPT7,-2.0084806859720468,0.2671735472558917,-0.019067390884643667,-0.13985520189010503,-0.002009092441966792
CPT8,1.5385969430099387,0.14686739850371744,-0.13079063577965752,-0.03751873897938028,-0.2371154499174205
CPT9,0.6040087729609286,-0.030066335024368892,0.06331589126003388,0.0767221975671244,0.06994297946486779
CPT10,-1.9337085021068856,0.2927815588124854,-0.021557591859394366,0.0411191400714919,-0.07702858999101919
CPT11,1.5401910422762626,0.08789135895494818,-0.1731874479220146,-0.03446355398626371,0.07948036181743835
CPT12,-2.149709337647264,-0.6547336273103301,-0.26608079614887226,-0.0036558700906072607,-0.0038861795105683515
CPT13,-0.7757187003953486,0.17215272813524915,-0.02328755766311802,0.06321269758681754,0.1306449418039757
CPT15,0.787138695860943,0.023219161137338046,0.11253419035760821,-0.23635408595124646,0.09559012063362911
CPT16,0.43733976581941153,-0.3262443963696066,0.19105744808975522,-0.09780481462646022,-0.05513396847969411
