CPT,PC1,PC2,PC3,PC4,PC5
CPT2,-0.09149968409685111,-0.4893430534745727,-0.16786724529852678,0.08432613017491133,0.023286825060600806
CPT3,-0.7793353565442621,-0.2937670067286326,-0.13154891786703912,0.0952056649213753,0.002647149969537096
CPT4,-2.4167370821413585,0.23082170408071065,0.06936116613545322,0.040312296055744226,0.026450869995827866
CPT5,2.7768423613866253,0.2929936892366728,-0.19215308219191746,-0.0047644382529273355,-0.012402415166446436
CPT6,-2.52585783627987,0.23728789511678447,0.08189915913779289,0.04850463810175445,0.046832801957865516
CPT7,3.3337013929787873,0.21481959838878395,-0.004214430995750187,-0.043639115921216984,0.21208346048471147
CPT8,-2.7376047382598787,0.4141428919577572,0.07991441403943088,-0.001975388474977605,-0.022551374612212592
CPT9,-0.9480616217484257,-0.20266316749821747,-0.128145368280783,0.09749577941868884,-0.05288613721484724
CPT10,3.3125847315555426,0.25891836894678694,-0.20017409073269987,-0.017146648513322833,-0.08678604864217952
CPT11,-2.546560776693182,0.2785475735682137,0.10507082293024694,-0.005560386758379749,-0.006948637951560031
CPT12,3.1432197074917085,-0.16184832964267976,0.6260901777775881,0.019330043079153893,-0.07366227373465577
CPT13,1.4585287030295524,0.022038409411048957,-0.14097753028324247,0.03827348605111171,-0.08450887690951954
CPT15,-1.4431967737028237,-0.21354387317138493,-0.07864057340466268,-0.31509204003642066,-0.04606112682332837
CPT16,-0.5360230269755609,-0.5884047001912676,0.08138549903411213,-0.03527001984549191,0.07450578358620835
