CPT,PC1,PC2,PC3,PC4,PC5
CPT2,-0.483120578148915,-0.21373515315724487,0.32396177966112055,-0.07679575201496096,0.008380575287774536
CPT3,-0.5177389940155136,-0.02124974374169283,0.1355436415138201,-0.06103618958723491,-0.07226691037848926
CPT4,-0.8759436761105607,0.06877293583139284,-0.0793523090668493,-0.08880790398932151,0.04625753876188437
CPT5,1.343246854984318,0.20858437877164354,0.08162273915429849,-0.014012662422507989,0.058035178069821385
CPT6,-0.9073280577071187,0.07891254428919894,-0.1131874513132549,-0.10308370452118633,0.06143653733648103
CPT7,1.4920499185183402,0.11223762827688412,-0.0937995154036746,0.03968261830017569,-0.0918193042420191
CPT8,-0.7761488936014405,0.17675292555626732,-0.1430614670819942,-0.02831007363176869,0.032753241768930665
CPT9,-0.49991194145289564,0.046025705634229544,0.08338446160016745,-0.06417802703885332,-0.06799130847767769
CPT10,1.429691340697005,0.13748047862095553,0.15259653324315445,-0.027630555787564206,0.15018225194179669
CPT11,-0.7995993445260758,0.15120213451006737,-0.20951777865385016,-0.00833346627343054,-0.0014965606707455239
CPT12,1.1927431380644145,-0.6028381048362682,-0.23656767407918466,-0.027969101688786805,0.036340400735313756
CPT13,0.7926260079825317,0.19256987610650206,-0.014211623574302182,0.04079276970959988,-0.17010283525425302
CPT15,-0.7264943739200478,0.022482396398344918,0.03293417130440639,0.3508473977401288,0.06765128238036373
CPT16,-0.6640714007640426,-0.3571980022602793,0.07965449269614219,0.06883465120571028,-0.05736008725918217
