CPT,PC1,PC2,PC3,PC4,PC5
CPT2,-0.5530478153598166,-0.01543309526700035,0.06613778290232483,-0.08351410403771811,0.0036385217833808064
CPT3,-0.5033764169549994,0.025823884375642814,0.10070178521558118,-0.10875253505941941,0.013184758458731337
CPT4,-1.048297626698787,0.0007710197045348326,-0.019218116771514006,-0.11667028829102524,-0.08822171668484242
CPT5,1.3648309537630008,0.15447242383986326,0.0075887344708838,-0.05662662011981765,-0.010517275567792864
CPT6,-0.903714923178351,0.02189194212224572,-0.07271447535400904,-0.03977549673929699,-0.08486054187953754
CPT7,1.6596445898895371,0.14358451363815863,-0.03945494368940975,0.09193773961423833,-0.04993093928344228
CPT8,-0.8230708718428703,0.16729387479217153,-0.2750616646254686,0.011496794227273803,0.15517594465860324
CPT9,-0.35297014871965166,0.04147687060890795,0.12054536221975774,-0.06147636252710163,0.022018455794668563
CPT10,1.4043560358501164,0.11047384636832927,-0.1226440283369045,-0.04322728146828457,-0.019203068953721352
CPT11,-0.712552613751143,0.06887408974012099,-0.027776771453229675,0.04505745855571799,-0.09040921798806129
CPT12,0.7327221315796503,-0.7845331336807666,-0.06334645890423227,0.012537507182487436,-0.007773951516422512
CPT13,1.0957957973700398,0.1256202103203687,0.16621854398672062,-0.02135594287197841,0.08956523595927103
CPT15,-0.611806993961409,0.10415071748172938,0.06170309461023751,0.27458242907253316,-0.05347926468266262
CPT16,-0.7485120979853156,-0.16446716404430597,0.09732115572926242,0.09578670246239152,0.12081305990182761
