CPT,PC1,PC2,PC3,PC4,PC5
CPT2,-0.44057875071754976,-0.2674552751874394,0.29886356435042366,-0.018966764154178223,0.011396857161513084
CPT3,-0.5695668569320289,-0.04302029681538641,0.16216213483271932,-0.05367456921884842,0.05784252877332901
CPT4,-1.0522936085156949,0.04531898750566879,-0.023822704446797835,-0.08028311174855277,-0.09525301510052252
CPT5,1.4600403146237597,0.2115610431634764,0.08245088715450188,-0.005522291357882802,-0.04120505867138032
CPT6,-1.0776094752646759,0.07712896960915264,-0.05584971134939279,-0.06540101353879046,-0.11258923698836622
CPT7,1.6915978954498037,0.1119526624025487,-0.08322518015870946,0.040997996289930595,0.03146761735614476
CPT8,-0.9813164159507546,0.22284265424291155,-0.12642321350905644,-0.014518501680023305,-0.02531372736091768
CPT9,-0.564055658761362,0.010071199204025725,0.10224855681135336,-0.06061223789261988,0.0522959399486608
CPT10,1.6447148035585508,0.12061816927585813,0.17258567718200668,0.06397692024642132,-0.14964943257133806
CPT11,-0.9828990987338508,0.2064929595107948,-0.18952992593981588,-0.019470621435438193,0.006916409912763027
CPT12,1.469767546737384,-0.48322260024753405,-0.27408540476997945,-0.06014397475102923,-0.0324807698609897
CPT13,0.8376863476394769,0.19173191875775186,-0.015339765388076245,-0.08312378872492938,0.22004530341937417
CPT15,-0.7686254989880005,0.006619704147785059,-0.048931383761348146,0.314901953269028,0.04555434164720394
CPT16,-0.6668615441450585,-0.41064009556961273,-0.0011035310078297415,0.04184000469691291,0.030972242334525602
