CPT,THERM_FPGA,THERM_DCB,VMON_6V,VMON_3V7,VMON_1V8,VMON_3V3D,VMON_2V5D,VMON_1V2D,VMON_VCC_FLASH0,VMON_VCC_FLASH1,VMON_VCC_FLASH2,VMON_VCC_FLASH3,VMON_3V3_HK,VMON_GND,GND_RES,GND_RES2,SPE_P5_V,SPE_P5_C,SPE_N5_V,SPE_N5_C,SPE_1VA8_V,SPE_1VA8_C,SPE_1VAD8_V,SPE_1VAD8_C,SPE_3VD3_V,SPE_3VD3_C,SPE_2VD5_V,SPE_2VD5_C,SPE_1VD8_V,SPE_1VD8_C,SPE_1VD5_V,SPE_1VD5_C,SPE_1VD0_V,SPE_1VD0_C,SPE_FPGA_T,SPE_ADC0_T,SPE_ADC1_T,PFPS_DCB_1V8,PFPS_DCB_3V7,PFPS_DCB_5V,PFPS_SPE_1V5,PFPS_SPE_2V3,PFPS_SPE_3V6,PFPS_SPE_P5V5,PFPS_SPE_N5V5,PFPS_MOT_A,PFPS_PA3_T,PFPS_PA2_T,PFPS_PA1_T,PFPS_PA0_T,PFPS_CAR_T,PFPS_PFPS_T,PFPS_BAT_T,VMON_PDU_COMMS,VMON_PDU_PFPS,VMON_PDU_CAROUSEL,ADC_PWR
CPT2,31.72275,30.564375000000002,5.55875,4.01525,1.8933749999999998,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.171749999999999,0.115375,-4.9935,0.092125,1.90475,0.1985,1.9085,0.19287500000000002,3.363,0.0,2.551,0.0,1.802,0.0,1.4995,0.0,1.0211249999999998,0.001375,43.211875,38.0005,36.307375,967.625,1390.75,1411.375,1229.5,1303.5,1664.375,1384.125,1386.0,15.0,27.545625,28.117125,28.460875,28.460875,2491.5,1182.625,2491.5,608.0,31.25,0.0,1.0
CPT3,32.318875,30.989125,5.5611250000000005,4.015750000000001,1.8935,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.1735,0.11574999999999999,-4.9935,0.0925,1.904,0.199,1.907875,0.1925,3.361125,0.0,2.551,0.0,1.802,0.0,1.4995,0.0,1.0227499999999998,0.00125,46.612,40.187625,38.002625,967.625,1390.75,1412.375,1236.125,1305.875,1668.625,1385.75,1387.5,15.0,27.60275,28.289,28.17425,28.518250000000002,2490.875,1175.5,2491.0,608.5,30.75,0.0,1.0
CPT4,50.588499999999996,49.131625,5.58225,4.0177499999999995,1.8723750000000001,3.242,2.45,1.197,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.1613750000000005,0.117625,-4.99475,0.0945,1.901,0.2,1.9052499999999999,0.19125,3.36,0.0,2.548,0.0,1.8,0.0,1.5,0.0,1.0215,0.0011250000000000001,65.3995,57.782,55.105125,967.875,1391.875,1417.625,1236.625,1315.875,1684.25,1391.0,1391.0,14.875,45.593125,46.264250000000004,46.14212500000001,46.569874999999996,2485.875,769.875,2486.0,591.25,31.875,0.0,1.0
CPT5,-13.896125,-15.056625,5.514,4.01,1.91625,3.252,2.456,1.198,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.19,0.111125,-4.984624999999999,0.08725,1.9100000000000001,0.195,1.9105,0.195,3.3635,0.0,2.551,0.0,1.802,0.0,1.495,0.0,1.0227499999999998,0.00125,14.2005,8.484124999999999,7.177875,965.625,1387.625,1400.0,1231.875,1281.625,1630.5,1375.0,1378.0,18.0,-18.8065,-17.223125000000003,-17.991999999999997,-16.741625,2499.375,2182.0,2500.875,682.25,30.0,0.0,1.0
CPT6,50.009,48.613,5.584,4.01725,1.8725,3.2445000000000004,2.451,1.19675,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.159750000000001,0.1175,-4.99475,0.0945,1.901,0.2,1.9052499999999999,0.191,3.36,0.0,2.548375,0.0,1.8,0.0,1.5,0.0,1.0185,0.001375,64.95824999999999,57.30499999999999,54.632000000000005,967.625,1391.75,1417.75,1221.125,1314.25,1680.0,1389.0,1389.5,14.875,43.16675,43.5295,43.7715,43.5295,2485.625,783.125,2485.625,590.5,33.5,0.0,1.0
CPT7,-21.974125,-23.295749999999998,5.50575,4.00775,1.917,3.256,2.459,1.199,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,5.19,0.110375,-4.979125,0.08625,1.91025,0.194,1.91025,0.195,3.363,0.0,2.551,0.0,1.802375,0.0,1.493,0.0,1.0227499999999998,0.00125,10.74475,5.024875,3.939,964.75,1386.75,1398.375,1230.75,1278.25,1624.375,1373.125,1375.875,18.25,-21.802124999999997,-17.271250000000002,-19.951999999999998,-17.271250000000002,2499.875,2277.0,2501.75,702.875,30.125,0.0,1.0
CPT8,45.4485,43.969,5.5755,4.01725,1.8788749999999999,3.244,2.450125,1.196,0.0,0.0,0.0,0.0,3.23775,0.0,0.0,0.0,5.1515,0.12675,-4.983,0.10325000000000001,1.9021249999999998,0.2,1.909125,0.185875,3.36,0.0,2.551,0.0,1.8002500000000001,0.0,1.5,0.0,1.020125,0.001375,58.296625,51.967625,49.73775,967.625,1391.75,1415.75,1233.625,1313.125,1678.625,1388.0,1388.5,15.0,31.224375,28.977249999999998,29.89675,28.002625000000002,2487.25,856.875,2486.875,571.375,35.625,0.0,1.0
CPT9,33.086875000000006,31.780125,5.562375,4.01675,1.893375,3.244,2.449875,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.1735,0.115875,-4.996,0.09275,1.904,0.199,1.908625,0.192125,3.363,0.0,2.551,0.0,1.802,0.0,1.5,0.0,1.026,0.001,47.390375,40.88825,38.602875,968.0,1391.375,1413.0,1251.0,1307.875,1671.75,1386.75,1388.5,15.0,28.346125,29.149375,29.034625,29.493625,2491.0,1156.875,2491.0,612.375,29.0,0.0,1.0
CPT10,-18.355375,-19.5955,5.5065,4.0075,1.916875,3.254,2.45775,1.199,0.0,0.0,0.0,0.0,3.248,0.0,0.0,0.0,5.188375000000001,0.110875,-4.980499999999999,0.086625,1.9105,0.195,1.91025,0.195125,3.36325,0.0,2.551,0.0,1.80275,0.0,1.4947500000000002,0.0,1.0227499999999998,0.00125,12.189625,6.437125,5.30325,965.125,1387.0,1398.75,1231.125,1279.375,1626.5,1373.875,1376.25,18.0,-18.8065,-13.00075,-14.951,-12.068875,2499.875,2239.125,2501.25,664.875,32.75,0.0,1.0
CPT11,47.680375,46.22087499999999,5.5815,4.0175,1.876125,3.244,2.450125,1.196,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.159750000000001,0.11737500000000001,-4.9935,0.094125,1.901,0.2,1.9068749999999999,0.19125,3.36,0.0,2.551,0.0,1.8,0.0,1.5,0.0,1.02,0.00125,61.953875,54.867875,52.216,967.875,1391.75,1417.625,1230.75,1313.75,1680.75,1389.125,1390.0,14.25,35.364125,31.2825,32.55875,31.2825,2486.875,818.625,2486.75,648.75,26.875,0.0,1.0
