THERM_FPGA,THERM_DCB,VMON_6V,VMON_3V7,VMON_1V8,VMON_3V3D,VMON_2V5D,VMON_1V2D,VMON_VCC_FLASH0,VMON_VCC_FLASH1,VMON_VCC_FLASH2,VMON_VCC_FLASH3,VMON_3V3_HK,VMON_GND,GND_RES,GND_RES2,SPE_P5_V,SPE_P5_C,SPE_N5_V,SPE_N5_C,SPE_1VA8_V,SPE_1VA8_C,SPE_1VAD8_V,SPE_1VAD8_C,SPE_3VD3_V,SPE_3VD3_C,SPE_2VD5_V,SPE_2VD5_C,SPE_1VD8_V,SPE_1VD8_C,SPE_1VD5_V,SPE_1VD5_C,SPE_1VD0_V,SPE_1VD0_C,SPE_FPGA_T,SPE_ADC0_T,SPE_ADC1_T,PFPS_DCB_1V8,PFPS_DCB_3V7,PFPS_DCB_5V,PFPS_SPE_1V5,PFPS_SPE_2V3,PFPS_SPE_3V6,PFPS_SPE_P5V5,PFPS_SPE_N5V5,PFPS_MOT_A,PFPS_PA3_T,PFPS_PA2_T,PFPS_PA1_T,PFPS_PA0_T,PFPS_CAR_T,PFPS_PFPS_T,PFPS_BAT_T,VMON_PDU_COMMS,VMON_PDU_PFPS,VMON_PDU_CAROUSEL,ADC_PWR
30.979,29.822,5.557,4.016,1.895,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.177,0.116,-4.986,0.096,1.906,0.199,1.906,0.199,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.026,0.001,42.201,37.434,35.829,968,1391,1411,1252,1304,1669,1386,1387,15,27.717,28.174,28.174,28.174,2492,1199,2492,607,29,0,1
31.02,29.863,5.557,4.014,1.893,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.177,0.116,-4.996,0.092,1.904,0.199,1.914,0.182,3.363,0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.026,0.001,42.162,37.39,35.784,968,1391,1411,1253,1306,1670,1386,1388,15,27.717,28.174,28.174,28.174,2492,1198,2492,608,28,0,1
31.062,29.904,5.557,4.016,1.895,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.163,0.118,-4.996,0.094,1.906,0.199,1.914,0.184,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.026,0.001,42.353,37.286,35.829,968,1391,1411,1253,1306,1670,1386,1388,15,27.26,28.174,28.174,28.174,2492,1198,2492,610,29,0,1
31.062,29.904,5.557,4.016,1.895,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.163,0.122,-4.986,0.098,1.906,0.199,1.911,0.185,3.363,0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.026,0.001,42.353,37.434,35.829,967,1391,1411,1253,1305,1670,1386,1387,15,27.717,28.174,28.174,28.174,2492,1197,2492,611,29,0,1
31.103,29.945,5.557,4.016,1.899,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.163,0.126,-4.986,0.102,1.906,0.199,1.911,0.187,3.363,0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.026,0.001,42.353,37.434,35.829,968,1391,1411,1252,1306,1670,1385,1386,15,27.717,28.174,28.174,28.174,2492,1197,2492,610,29,0,1
31.103,29.987,5.557,4.016,1.895,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.163,0.129,-4.986,0.105,1.906,0.199,1.911,0.188,3.363,0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.026,0.001,42.353,37.434,35.829,968,1391,1411,1252,1305,1669,1385,1386,15,27.717,28.174,28.174,28.174,2492,1196,2492,608,29,0,1
31.145,29.987,5.557,4.016,1.895,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.163,0.13,-4.975,0.106,1.906,0.199,1.911,0.187,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.5,-0.0,1.026,0.001,42.506,37.434,35.829,968,1391,1411,1252,1305,1669,1385,1387,15,27.717,28.174,28.174,28.174,2492,1196,2492,609,29,0,1
31.186,30.028,5.557,4.016,1.895,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.177,0.115,-4.996,0.091,1.904,0.199,1.914,0.18,3.363,0.0,2.551,-0.0,1.802,-0.0,1.5,-0.0,1.026,0.001,42.467,37.39,35.928,968,1391,1411,1253,1307,1671,1386,1388,15,27.717,28.174,28.174,28.174,2492,1195,2492,609,28,0,1
31.186,30.028,5.557,4.016,1.895,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.177,0.116,-4.996,0.092,1.904,0.199,1.914,0.183,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.026,0.001,42.467,37.39,35.928,968,1391,1411,1253,1306,1669,1386,1388,15,27.717,28.174,28.174,28.174,2492,1195,2492,610,29,0,1
31.228,30.069,5.557,4.016,1.895,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.163,0.119,-4.996,0.095,1.906,0.199,1.914,0.184,3.363,0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.026,0.001,42.658,37.434,35.973,968,1391,1411,1253,1306,1671,1386,1388,15,27.717,28.174,28.174,28.174,2492,1194,2492,607,29,0,1
31.228,30.11,5.557,4.016,1.895,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.163,0.123,-4.986,0.099,1.906,0.199,1.911,0.186,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.026,0.001,42.658,37.582,35.973,968,1391,1412,1252,1305,1669,1385,1387,15,27.717,28.174,28.174,28.174,2492,1194,2492,611,29,0,1
31.27,30.11,5.559,4.016,1.895,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.234,0.0,0.0,0.0,5.163,0.126,-4.986,0.102,1.906,0.199,1.911,0.187,3.363,0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.026,0.001,42.658,37.582,35.973,968,1391,1411,1252,1306,1671,1385,1387,15,27.717,28.174,28.174,28.633,2492,1193,2492,607,29,0,1
31.27,30.151,5.557,4.014,1.891,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.15,0.129,-4.975,0.105,1.906,0.199,1.911,0.188,3.363,0.0,2.551,-0.0,1.802,-0.0,1.5,-0.0,1.026,0.001,42.658,37.582,36.118,968,1391,1411,1252,1305,1669,1385,1387,15,27.717,28.174,28.174,28.633,2492,1193,2492,610,29,0,1
31.311,30.151,5.557,4.014,1.896,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.163,0.127,-4.986,0.103,1.906,0.199,1.911,0.186,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.026,0.001,42.658,37.582,36.118,968,1391,1411,1252,1306,1671,1385,1387,15,27.717,28.174,28.174,28.633,2492,1192,2492,610,29,0,1
