gain_setting,component,model,term,alpha,stderr,ratio
L3,PC1,linear,1,-1138.6333664074045,122.6879632706855,9.280725965718794
L3,PC1,linear,THERM_FPGA,-0.010691811259476935,0.008720220645896474,1.2260941200505338
L3,PC1,linear,SPE_ADC1_T,0.09776803123823186,0.014362109963275384,6.80735849316218
L3,PC1,linear,SPE_1VAD8_V,499.3474678831273,58.906626105336585,8.476932068562139
L3,PC1,linear,VMON_1V2D,123.30146899728534,28.574529961298452,4.315083018488344
L3,PC1,linear,SPE_1VAD8_C,184.2846463814537,27.529848247403574,6.693994268523952
L3,PC1,linear,PFPS_PA3_T,-0.05167826598571157,0.0032769744633843936,15.770115563347812
L3,PC1,quadratic,1,-567.3606417606981,65.11582107663396,8.71309971032967
L3,PC1,quadratic,THERM_FPGA,0.32471760178785286,0.04622434807490397,7.024817337859826
L3,PC1,quadratic,SPE_ADC1_T,-0.2782287646266054,0.06735382446638066,4.130853248956663
L3,PC1,quadratic,SPE_1VAD8_V,424.3022074236388,22.828956576706084,18.586141070353726
L3,PC1,quadratic,VMON_1V2D,-231.69030155514213,53.61239905202988,4.321580560688784
L3,PC1,quadratic,SPE_1VAD8_C,175.04433538430806,14.360905827785071,12.18894807078515
L3,PC1,quadratic,PFPS_PA3_T,-0.08371659428692904,0.002792376384061686,29.980411940441215
L3,PC1,quadratic,THERM_FPGA*THERM_FPGA,0.010028469445474086,0.0009407693937970395,10.659859378501015
L3,PC1,quadratic,SPE_ADC1_T*SPE_ADC1_T,0.02055384155360085,0.0018678700719031874,11.003892541978779
L3,PC1,quadratic,PFPS_PA3_T*PFPS_PA3_T,0.0008242380005133165,6.37669716798479e-05,12.92578240427557
L3,PC1,quadratic,THERM_FPGA*SPE_ADC1_T,-0.030820111974814823,0.0026417355348467815,11.666615211201437
L3,PC2,linear,1,-263.2838276793134,151.64961919612296,1.736132468218189
L3,PC2,linear,THERM_FPGA,0.10103299158251478,0.011291677157521244,8.947562897263492
L3,PC2,linear,SPE_ADC1_T,-0.08219971334896714,0.017840669437406923,4.607434358747615
L3,PC2,linear,SPE_1VAD8_V,-47.67468062134,73.02799439334505,0.6528274672936182
L3,PC2,linear,VMON_1V2D,303.6205152558449,36.64235725439302,8.286053027318381
L3,PC2,linear,SPE_1VAD8_C,-42.47731333773822,34.797400844574376,1.22070362460308
L3,PC2,linear,PFPS_PA3_T,-0.03925741207361999,0.004228442009859969,9.284131597897934
L3,PC2,quadratic,1,149.13653141485185,333.775862359348,0.44681640655695243
L3,PC2,quadratic,THERM_FPGA,0.439390306370536,0.20460123547217385,2.1475447367486398
L3,PC2,quadratic,SPE_ADC1_T,-0.32674262196515885,0.30930808747596983,1.0563662419287485
L3,PC2,quadratic,SPE_1VAD8_V,125.82136601792057,112.60626996399168,1.1173566628053189
L3,PC2,quadratic,VMON_1V2D,-337.55343756558807,256.1936118583116,1.3175716409052098
L3,PC2,quadratic,SPE_1VAD8_C,72.04536535152498,67.35619191395682,1.0696175556296037
L3,PC2,quadratic,PFPS_PA3_T,-0.10800376373509242,0.0131809720446646,8.193914938072435
L3,PC2,quadratic,THERM_FPGA*THERM_FPGA,0.012548983478210068,0.004497005587724427,2.79051987670758
L3,PC2,quadratic,SPE_ADC1_T*SPE_ADC1_T,0.022136825354788586,0.009242981622922782,2.3949874897391132
L3,PC2,quadratic,PFPS_PA3_T*PFPS_PA3_T,0.0015001273862760012,0.00028627685477479144,5.240128083201567
L3,PC2,quadratic,THERM_FPGA*SPE_ADC1_T,-0.036013064446027976,0.01285204170541993,2.8021278853180687
L3,PC3,linear,1,-544.2703926822429,78.1823190529932,6.961553446800778
L3,PC3,linear,THERM_FPGA,0.033179583286811365,0.0092607252596696,3.5828277328675586
L3,PC3,linear,SPE_ADC1_T,-0.015137598698344412,0.012856473288286258,1.1774301053568497
L3,PC3,linear,SPE_1VAD8_V,223.92209997003934,37.579560686756416,5.958614094415232
L3,PC3,linear,VMON_1V2D,86.32365053719337,28.227807058180716,3.0581068645988165
L3,PC3,linear,SPE_1VAD8_C,67.81501715828809,17.479358256965252,3.8797200767519517
L3,PC3,linear,PFPS_PA3_T,-0.001171912713220813,0.0023180652591411276,0.5055563938933373
L3,PC3,quadratic,1,676.9704036771848,162.97918216534003,4.153723160731093
L3,PC3,quadratic,THERM_FPGA,0.3687791570109794,0.06720444257129946,5.487422302770076
L3,PC3,quadratic,SPE_ADC1_T,-0.5344210588143735,0.10708492110965577,4.9906284963045575
L3,PC3,quadratic,SPE_1VAD8_V,-21.743060755451847,49.20663888600899,0.4418725043549782
L3,PC3,quadratic,VMON_1V2D,-524.3447207558514,88.47542023905484,5.926445100109229
L3,PC3,quadratic,SPE_1VAD8_C,-21.459131976916243,23.715968197283665,0.904838959067844
L3,PC3,quadratic,PFPS_PA3_T,-0.009939859964026614,0.0038192645427474765,2.6025586478165623
L3,PC3,quadratic,THERM_FPGA*THERM_FPGA,0.009291453527107828,0.001545542792292246,6.011773710469293
L3,PC3,quadratic,SPE_ADC1_T*SPE_ADC1_T,0.019480607633925916,0.003239931632297008,6.012660094347358
L3,PC3,quadratic,PFPS_PA3_T*PFPS_PA3_T,0.0008253231116841092,8.658270835978994e-05,9.5321932903106
L3,PC3,quadratic,THERM_FPGA*SPE_ADC1_T,-0.027707985504222515,0.0044668272669871,6.2030573040071255
M3,PC1,linear,1,-307.14843072502634,24.39930513218189,12.588408934642468
M3,PC1,linear,THERM_FPGA,0.008183947893956045,0.004826911977375601,1.695483143739793
