gain_setting,component,model,term,alpha_refit
H3,PC1,linear,SPE_1VAD8_V,-173.85424164449944
H3,PC1,linear,VMON_1V2D,15.553582292710606
H3,PC1,linear,SPE_1VAD8_C,-71.02957642226738
H3,PC1,linear,PFPS_PA3_T,-0.03070118209692363
H3,PC1,quadratic,1,102.91455928511402
H3,PC1,quadratic,SPE_1VAD8_V,-52.74801961857708
H3,PC1,quadratic,SPE_1VAD8_C,-8.820572503170311
H3,PC1,quadratic,PFPS_PA3_T,-0.047023886096953404
H3,PC1,quadratic,PFPS_PA3_T*PFPS_PA3_T,0.00018408240553924315
H3,PC2,linear,1,-503.2719010916727
H3,PC2,linear,THERM_FPGA,0.06020817502773923
H3,PC2,linear,SPE_ADC1_T,0.05399953429671811
H3,PC2,linear,SPE_1VAD8_V,182.0009292111068
H3,PC2,linear,VMON_1V2D,109.660255952548
H3,PC2,linear,SPE_1VAD8_C,117.95983286379033
H3,PC2,linear,PFPS_PA3_T,-0.07907062907169315
H3,PC2,quadratic,1,434.11415207823677
H3,PC2,quadratic,THERM_FPGA,0.5637745277281786
H3,PC2,quadratic,SPE_ADC1_T,-0.44979240793130076
H3,PC2,quadratic,VMON_1V2D,-363.07844301521874
H3,PC2,quadratic,PFPS_PA3_T,-0.13891411853548025
H3,PC2,quadratic,THERM_FPGA*THERM_FPGA,0.015243510004971983
H3,PC2,quadratic,SPE_ADC1_T*SPE_ADC1_T,0.028222750192990587
H3,PC2,quadratic,PFPS_PA3_T*PFPS_PA3_T,0.0019727801921169963
H3,PC2,quadratic,THERM_FPGA*SPE_ADC1_T,-0.04509341689584806
H3,PC3,linear,1,-453.1402914555656
H3,PC3,linear,THERM_FPGA,0.09719401821023155
H3,PC3,linear,SPE_ADC1_T,-0.10027066923634909
H3,PC3,linear,SPE_1VAD8_V,80.3239947982203
H3,PC3,linear,VMON_1V2D,244.31051239976003
H3,PC3,linear,SPE_1VAD8_C,44.98359979141241
H3,PC3,linear,PFPS_PA3_T,-0.00956485304741106
H3,PC3,quadratic,1,-279.6174049490939
H3,PC3,quadratic,SPE_1VAD8_V,139.4030503313673
H3,PC3,quadratic,SPE_1VAD8_C,69.00116701928518
H3,PC3,quadratic,PFPS_PA3_T,0.015906024112240846
H3,PC3,quadratic,PFPS_PA3_T*PFPS_PA3_T,-1.2735869745483797e-06
