gain_setting,component,model,term,alpha,stderr,ratio
L0,PC1,linear,1,-0.018553902128739544,0.003958486090294726,4.687120708654082
L0,PC1,linear,THERM_FPGA,-1.2510316654527768e-06,3.818550644704535e-07,3.2761950327611196
L0,PC1,linear,SPE_ADC0_T,-5.76402690541806e-06,6.232071395280372e-07,9.24897444176142
L0,PC1,linear,VMON_1V2D,0.015292911788148926,0.0013326318793321574,11.475721108977899
L0,PC1,linear,SPE_1VAD8_C,0.004027204887334386,0.0003233147339427984,12.455989364366204
L0,PC1,quadratic,THERM_FPGA,3.219568955325266e-05,2.4697316872764526e-06,13.036108221438871
L0,PC1,quadratic,SPE_ADC0_T,-5.334417883181928e-05,3.4709917835857168e-06,15.368569607131695
L0,PC1,quadratic,VMON_1V2D,0.008534968659409373,0.0007672257239843943,11.124455805633255
L0,PC1,quadratic,THERM_FPGA*THERM_FPGA,6.752215104897191e-07,4.9928525420992786e-08,13.523762314154338
L0,PC1,quadratic,SPE_ADC0_T*SPE_ADC0_T,1.2122291312512663e-06,9.903960597128527e-08,12.239842024439495
L0,PC1,quadratic,THERM_FPGA*SPE_ADC0_T,-1.776534226714896e-06,1.4186333211834063e-07,12.522857035621673
M0,PC1,linear,1,-4.163831248731722,0.26426869939576736,15.756051542434056
M0,PC1,linear,THERM_FPGA,6.894948208777119e-05,1.9691606984569003e-05,3.5014654792675017
M0,PC1,linear,SPE_ADC0_T,-0.00033773925734327526,1.869692954264675e-05,18.06388886329753
M0,PC1,linear,SPE_1VAD8_V,0.8611325542676084,0.07217693498632119,11.930855119170802
M0,PC1,linear,VMON_1V2D,1.9848356389174338,0.11666645506228913,17.01290776219878
M0,PC1,linear,SPE_1VAD8_C,0.8010721753458014,0.08878804806156683,9.022297401901742
M0,PC1,quadratic,THERM_FPGA,0.0014070723247923598,0.00013446941871017497,10.463883448660212
M0,PC1,quadratic,SPE_ADC0_T,-0.0023388855474412093,0.00018342594526318337,12.751116228870062
M0,PC1,quadratic,SPE_1VAD8_C,0.3845315566185123,0.041015487506329946,9.375276998942589
M0,PC1,quadratic,THERM_FPGA*THERM_FPGA,3.3625151961283635e-05,2.902097420579913e-06,11.586500068135022
M0,PC1,quadratic,SPE_ADC0_T*SPE_ADC0_T,5.531252977202005e-05,5.610407472081612e-06,9.858914891167007
M0,PC1,quadratic,THERM_FPGA*SPE_ADC0_T,-8.432785849870456e-05,8.216458949649781e-06,10.263284830541137
H0,PC1,linear,1,-53.48464156093933,4.273769282773702,12.514630065904605
H0,PC1,linear,THERM_FPGA,0.0021079661440155384,0.001041705320047732,2.023572409056094
H0,PC1,linear,SPE_ADC0_T,-0.02046074949987131,0.0015023426468740953,13.619229636091157
H0,PC1,linear,VMON_1V2D,45.94449226900354,3.2513547643611824,14.130876388086365
H0,PC1,linear,SPE_1VAD8_C,8.18464167018988,1.8417691367914213,4.443902064972426
H0,PC1,quadratic,THERM_FPGA,0.07636815901039631,0.01388747775984613,5.499066160970217
H0,PC1,quadratic,SPE_ADC0_T,-0.11856372633961432,0.01832475179556824,6.470140914448207
H0,PC1,quadratic,VMON_1V2D,15.452256070502765,6.722791993302006,2.298487902927537
H0,PC1,quadratic,SPE_1VAD8_C,7.6325672755093805,1.8122542304994542,4.211642686250404
H0,PC1,quadratic,THERM_FPGA*THERM_FPGA,0.0017947920180416618,0.0003115449720244661,5.760940407347399
H0,PC1,quadratic,SPE_ADC0_T*SPE_ADC0_T,0.00301474189180604,0.0005886824788080322,5.121168032570474
H0,PC1,quadratic,THERM_FPGA*SPE_ADC0_T,-0.004633703438357686,0.0008699387487604732,5.326470909543907
L1,PC1,linear,1,0.045101021147626805,0.002263390875468994,19.926306868353656
L1,PC1,linear,THERM_FPGA,-2.8502772964230077e-06,3.34684065930035e-07,8.516322067806037
L1,PC1,linear,SPE_ADC0_T,1.0161179789585847e-05,5.425950914686357e-07,18.727002785968267
L1,PC1,linear,SPE_1VAD8_V,-0.0020562885475920757,0.0008875954624209948,2.316695650948201
L1,PC1,linear,VMON_1V2D,-0.03648268736400037,0.0012697579593131001,28.732001320737048
L1,PC1,linear,SPE_1VAD8_C,0.012059040417400966,0.0017845984882258034,6.757284900196076
L1,PC1,quadratic,1,0.019485003586894464,0.002906639830828054,6.703618171138702
L1,PC1,quadratic,THERM_FPGA,-5.290197711253672e-05,1.7768111911171433e-06,29.773550153787248
L1,PC1,quadratic,SPE_ADC0_T,8.095945618057603e-05,2.615641583475132e-06,30.952045070721653
L1,PC1,quadratic,SPE_1VAD8_V,0.006056294658639498,0.0011771135143036878,5.145038762231909
L1,PC1,quadratic,VMON_1V2D,-0.03146466144222649,0.0016409300528540524,19.174894985621314
L1,PC1,quadratic,SPE_1VAD8_C,0.030642310719258374,0.0013085064431651338,23.41777595312254
L1,PC1,quadratic,THERM_FPGA*THERM_FPGA,-1.04010644960765e-06,3.3417561498585123e-08,31.12454658463597
L1,PC1,quadratic,SPE_ADC0_T*SPE_ADC0_T,-2.0130345823071404e-06,6.992899150131702e-08,28.786838464118674
L1,PC1,quadratic,THERM_FPGA*SPE_ADC0_T,2.9185585654156965e-06,9.600921000125312e-08,30.3987353440113
M1,PC1,linear,1,0.39961736249806784,0.13376836563827776,2.9873831573802043
M1,PC1,linear,SPE_ADC0_T,0.0003392447050954775,1.199773891508339e-05,28.275719908272364
M1,PC1,linear,SPE_1VAD8_V,0.3217211533236021,0.037171933223542834,8.654948113374962
M1,PC1,linear,VMON_1V2D,-0.8154165673530716,0.05612036966242211,14.529778977900603
