THERM_FPGA,THERM_DCB,VMON_6V,VMON_3V7,VMON_1V8,VMON_3V3D,VMON_2V5D,VMON_1V2D,VMON_VCC_FLASH0,VMON_VCC_FLASH1,VMON_VCC_FLASH2,VMON_VCC_FLASH3,VMON_3V3_HK,VMON_GND,GND_RES,GND_RES2,SPE_P5_V,SPE_P5_C,SPE_N5_V,SPE_N5_C,SPE_1VA8_V,SPE_1VA8_C,SPE_1VAD8_V,SPE_1VAD8_C,SPE_3VD3_V,SPE_3VD3_C,SPE_2VD5_V,SPE_2VD5_C,SPE_1VD8_V,SPE_1VD8_C,SPE_1VD5_V,SPE_1VD5_C,SPE_1VD0_V,SPE_1VD0_C,SPE_FPGA_T,SPE_ADC0_T,SPE_ADC1_T,PFPS_DCB_1V8,PFPS_DCB_3V7,PFPS_DCB_5V,PFPS_SPE_1V5,PFPS_SPE_2V3,PFPS_SPE_3V6,PFPS_SPE_P5V5,PFPS_SPE_N5V5,PFPS_MOT_A,PFPS_PA3_T,PFPS_PA2_T,PFPS_PA1_T,PFPS_PA0_T,PFPS_CAR_T,PFPS_PFPS_T,PFPS_BAT_T,VMON_PDU_COMMS,VMON_PDU_PFPS,VMON_PDU_CAROUSEL,ADC_PWR
29.863,28.511,5.559,4.016,1.896,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.177,0.115,-4.996,0.091,1.906,0.199,1.914,0.181,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.026,0.001,42.966,37.434,35.541,967,1391,1412,1253,1306,1670,1387,1388,15,26.349,27.26,27.26,27.26,2492,1219,2492,616,28,0,1
29.945,28.592,5.559,4.018,1.892,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.163,0.118,-4.986,0.093,1.904,0.199,1.911,0.184,3.363,0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.013,0.002,43.081,37.538,35.64,967,1390,1411,1196,1302,1657,1382,1384,15,25.895,26.804,26.804,26.804,2491,1217,2491,614,35,0,1
30.028,28.674,5.559,4.016,1.895,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.163,0.12,-4.986,0.096,1.906,0.199,1.914,0.184,3.36,0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.026,0.001,43.275,37.582,35.684,967,1391,1412,1253,1306,1670,1386,1388,15,26.349,27.26,27.26,27.26,2492,1216,2492,613,28,0,1
30.11,28.756,5.559,4.016,1.895,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.163,0.125,-4.986,0.101,1.906,0.199,1.911,0.186,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.026,0.001,43.43,37.73,35.684,968,1391,1412,1253,1307,1672,1386,1387,15,26.804,27.26,27.26,27.717,2492,1215,2492,613,29,0,1
30.193,28.796,5.561,4.014,1.894,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.15,0.129,-4.975,0.105,1.904,0.199,1.911,0.187,3.363,0.0,2.551,-0.0,1.802,-0.0,1.5,-0.0,1.013,0.002,43.547,37.835,35.784,967,1390,1411,1194,1301,1654,1380,1382,15,26.349,26.804,26.804,27.26,2491,1213,2491,610,36,0,1
30.275,28.878,5.559,4.016,1.895,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.163,0.13,-4.975,0.107,1.906,0.199,1.911,0.188,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.026,0.001,43.742,37.879,35.973,968,1391,1412,1252,1306,1670,1385,1387,15,26.804,27.26,27.26,27.717,2492,1213,2492,611,29,0,1
30.358,28.96,5.559,4.016,1.895,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.177,0.115,-4.996,0.091,1.906,0.199,1.916,0.18,3.363,0.0,2.551,-0.0,1.802,-0.0,1.5,-0.0,1.026,0.001,43.899,38.028,35.973,968,1391,1412,1253,1308,1672,1387,1388,15,26.804,27.26,27.26,27.717,2492,1212,2492,611,29,0,1
30.399,29.042,5.559,4.014,1.895,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.177,0.116,-4.996,0.092,1.906,0.199,1.914,0.182,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.5,-0.0,1.013,0.002,44.056,38.177,36.118,967,1390,1411,1196,1302,1656,1382,1384,15,26.804,26.804,26.804,27.26,2491,1209,2491,612,35,0,1
30.482,29.124,5.561,4.016,1.895,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.177,0.118,-4.996,0.094,1.906,0.199,1.914,0.184,3.363,0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.026,0.001,44.056,38.177,36.263,967,1391,1412,1253,1307,1672,1387,1388,15,26.804,27.26,27.26,27.717,2492,1209,2492,613,29,0,1
30.564,29.165,5.559,4.016,1.896,3.24,2.449,1.196,0.0,0.0,0.0,0.0,3.232,0.0,0.0,0.0,5.163,0.122,-4.986,0.098,1.906,0.199,1.911,0.185,3.363,0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.026,0.001,44.214,38.327,36.263,968,1391,1412,1253,1307,1672,1386,1388,15,26.804,27.26,27.26,27.717,2492,1207,2492,610,29,0,1
