gain,model,case,CPT,NRMS
H3,Quadratic,PC12,CPT6,0.0016220704621985318
H3,Quadratic,PC12,CPT7,0.0013481464853037635
H3,Quadratic,PC12,CPT8,0.0012823926967702544
H3,Quadratic,PC12,CPT9,0.003110542862970919
H3,Quadratic,PC12,CPT10,0.0008633234238753406
H3,Quadratic,PC12,CPT11,0.001562690490136042
H3,Quadratic,PC12,CPT12,0.0017143372120582187
H3,Quadratic,PC12,CPT13,0.002479558939285837
H3,Quadratic,PC12,CPT15,0.0016583353608560752
H3,Quadratic,PC12,CPT16,0.0054181674787056435
H3,Quadratic,PC12,GLOBAL,0.002962023329836738
