gain,model,case,CPT,nRMS_masked
M3,Quadratic,PC123,CPT4,0.011950183559776043
M3,Quadratic,PC123,CPT5,0.0078559242844139
M3,Quadratic,PC123,CPT6,0.009758777175647123
M3,Quadratic,PC123,CPT7,0.008920093587039173
M3,Quadratic,PC123,CPT8,0.004582551127302971
M3,Quadratic,PC123,CPT9,0.00882693109656067
M3,Quadratic,PC123,CPT10,0.011189346373318131
M3,Quadratic,PC123,CPT11,0.004933311915805603
M3,Quadratic,PC123,CPT12,0.017935075014168314
M3,Quadratic,PC123,CPT13,0.016865668723264376
M3,Quadratic,PC123,CPT15,0.015165784026435813
M3,Quadratic,PC123,CPT16,0.007208212153663094
M3,Quadratic,PC123,GLOBAL,0.01114558008512611
H3,Actual,PC123,CPT2,0.005071339902108844
H3,Actual,PC123,CPT3,0.007843166767200108
H3,Actual,PC123,CPT4,0.007820150695511391
H3,Actual,PC123,CPT5,0.0059629053415529995
H3,Actual,PC123,CPT6,0.00885683965507068
H3,Actual,PC123,CPT7,0.009626188258856798
H3,Actual,PC123,CPT8,0.0040681810760115275
H3,Actual,PC123,CPT9,0.009681305535211416
H3,Actual,PC123,CPT10,0.01224600299450277
H3,Actual,PC123,CPT11,0.003708070513763221
H3,Actual,PC123,CPT12,0.0038871527380437317
H3,Actual,PC123,CPT13,0.015892342811791464
H3,Actual,PC123,CPT15,0.01772775675687399
H3,Actual,PC123,CPT16,0.0072944675008735855
H3,Actual,PC123,GLOBAL,0.009481781769865912
H3,Mean only,PC123,CPT2,0.031769966080025046
H3,Mean only,PC123,CPT3,0.03167553937853501
H3,Mean only,PC123,CPT4,0.03795718803601033
H3,Mean only,PC123,CPT5,0.06647157660134487
H3,Mean only,PC123,CPT6,0.03912756432223404
H3,Mean only,PC123,CPT7,0.07352491358809447
H3,Mean only,PC123,CPT8,0.03725058084448629
H3,Mean only,PC123,CPT9,0.031019564350509732
H3,Mean only,PC123,CPT10,0.07237509672536291
H3,Mean only,PC123,CPT11,0.039445847330851054
H3,Mean only,PC123,CPT12,0.06669530595038013
H3,Mean only,PC123,CPT13,0.03481387334101688
H3,Mean only,PC123,CPT15,0.04120154881486018
H3,Mean only,PC123,CPT16,0.033683337274006936
H3,Mean only,PC123,GLOBAL,0.04775783537283323
H3,Linear,PC123,CPT2,0.007088154804473072
H3,Linear,PC123,CPT3,0.010858286206522426
H3,Linear,PC123,CPT4,0.00870598738635986
H3,Linear,PC123,CPT5,0.006154444253691538
H3,Linear,PC123,CPT6,0.01070921959700833
H3,Linear,PC123,CPT7,0.01016738501698328
H3,Linear,PC123,CPT8,0.003998626890333735
H3,Linear,PC123,CPT9,0.01058398263669308
H3,Linear,PC123,CPT10,0.012124580270320439
H3,Linear,PC123,CPT11,0.008463178064841597
H3,Linear,PC123,CPT12,0.018379503481846176
H3,Linear,PC123,CPT13,0.015825038854440882
H3,Linear,PC123,CPT15,0.01768770825015777
H3,Linear,PC123,CPT16,0.009489485316775065
H3,Linear,PC123,GLOBAL,0.01143640701478371
H3,Quadratic,PC123,CPT2,0.010046202777271862
H3,Quadratic,PC123,CPT3,0.009494431815232393
H3,Quadratic,PC123,CPT4,0.008803276012765886
H3,Quadratic,PC123,CPT5,0.007619422991371183
H3,Quadratic,PC123,CPT6,0.009809553378561759
H3,Quadratic,PC123,CPT7,0.01009488135214325
H3,Quadratic,PC123,CPT8,0.004000526280360367
H3,Quadratic,PC123,CPT9,0.008563256221441624
H3,Quadratic,PC123,CPT10,0.011471712421453943
H3,Quadratic,PC123,CPT11,0.005785630015021646
H3,Quadratic,PC123,CPT12,0.013978209220067974
H3,Quadratic,PC123,CPT13,0.014822617100408955
H3,Quadratic,PC123,CPT15,0.018674791519958087
H3,Quadratic,PC123,CPT16,0.007700797524587423
H3,Quadratic,PC123,GLOBAL,0.010687158459708425
