THERM_FPGA,THERM_DCB,VMON_6V,VMON_3V7,VMON_1V8,VMON_3V3D,VMON_2V5D,VMON_1V2D,VMON_VCC_FLASH0,VMON_VCC_FLASH1,VMON_VCC_FLASH2,VMON_VCC_FLASH3,VMON_3V3_HK,VMON_GND,GND_RES,GND_RES2,SPE_P5_V,SPE_P5_C,SPE_N5_V,SPE_N5_C,SPE_1VA8_V,SPE_1VA8_C,SPE_1VAD8_V,SPE_1VAD8_C,SPE_3VD3_V,SPE_3VD3_C,SPE_2VD5_V,SPE_2VD5_C,SPE_1VD8_V,SPE_1VD8_C,SPE_1VD5_V,SPE_1VD5_C,SPE_1VD0_V,SPE_1VD0_C,SPE_FPGA_T,SPE_ADC0_T,SPE_ADC1_T,PFPS_DCB_1V8,PFPS_DCB_3V7,PFPS_DCB_5V,PFPS_SPE_1V5,PFPS_SPE_2V3,PFPS_SPE_3V6,PFPS_SPE_P5V5,PFPS_SPE_N5V5,PFPS_MOT_A,PFPS_PA3_T,PFPS_PA2_T,PFPS_PA1_T,PFPS_PA0_T,PFPS_CAR_T,PFPS_PFPS_T,PFPS_BAT_T,VMON_PDU_COMMS,VMON_PDU_PFPS,VMON_PDU_CAROUSEL,ADC_PWR
-16.386,-17.662,5.51,4.01,1.916,3.252,2.457,1.199,0.0,0.0,0.0,0.0,3.248,0.0,0.0,0.0,5.19,0.109,-4.986,0.085,1.909,0.195,1.911,0.192,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,12.605,7.159,5.967,966,1387,1400,1244,1281,1631,1375,1378,18,-19.857,-18.328,-19.093,-17.944,2499,2209,2501,686,29,0,1
-16.317,-17.517,5.51,4.01,1.916,3.252,2.457,1.199,0.0,0.0,0.0,0.0,3.248,0.0,0.0,0.0,5.19,0.112,-4.986,0.087,1.911,0.195,1.916,0.185,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,12.665,7.23,6.173,966,1387,1400,1246,1282,1632,1375,1378,18,-19.857,-18.328,-18.711,-17.944,2499,2209,2501,688,28,0,1
-16.247,-17.446,5.51,4.006,1.913,3.252,2.457,1.199,0.0,0.0,0.0,0.0,3.248,0.0,0.0,0.0,5.19,0.114,-4.975,0.089,1.909,0.195,1.914,0.187,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,12.724,7.159,6.1,965,1388,1400,1245,1282,1632,1375,1378,18,-19.857,-18.328,-18.711,-17.944,2500,2208,2501,687,29,0,1
-16.109,-17.374,5.512,4.01,1.916,3.252,2.457,1.199,0.0,0.0,0.0,0.0,3.248,0.0,0.0,0.0,5.19,0.117,-4.975,0.092,1.911,0.195,1.914,0.188,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,12.784,7.23,6.173,966,1388,1400,1245,1282,1632,1375,1378,18,-19.857,-18.328,-18.711,-17.56,2499,2207,2501,684,29,0,1
-16.04,-17.302,5.512,4.01,1.918,3.252,2.457,1.199,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.177,0.121,-4.975,0.096,1.911,0.195,1.914,0.19,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,12.902,7.23,6.173,965,1388,1400,1246,1282,1633,1375,1377,18,-19.857,-18.328,-18.711,-17.56,2500,2207,2501,684,29,0,1
-15.972,-17.231,5.512,4.01,1.916,3.252,2.457,1.199,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.177,0.125,-4.965,0.1,1.911,0.195,1.914,0.19,3.363,-0.0,2.551,-0.0,1.805,-0.0,1.495,-0.0,1.026,0.001,12.902,7.361,6.306,966,1387,1400,1245,1281,1631,1374,1377,18,-19.857,-18.328,-18.711,-17.56,2500,2206,2501,685,28,0,1
-15.903,-17.16,5.512,4.01,1.916,3.252,2.457,1.199,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.177,0.125,-4.965,0.1,1.911,0.195,1.914,0.189,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,13.02,7.361,6.306,966,1388,1400,1245,1282,1631,1374,1377,18,-19.857,-17.944,-18.711,-17.56,2500,2205,2501,685,29,0,1
-15.834,-17.089,5.512,4.01,1.916,3.252,2.457,1.199,0.0,0.0,0.0,0.0,3.248,0.0,0.0,0.0,5.19,0.11,-4.986,0.085,1.909,0.195,1.916,0.182,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,12.961,7.422,6.233,966,1388,1400,1246,1283,1634,1376,1379,18,-19.857,-17.944,-18.711,-17.56,2500,2204,2501,684,28,0,1
-15.766,-17.018,5.512,4.01,1.916,3.252,2.457,1.199,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.19,0.112,-4.986,0.087,1.911,0.195,1.916,0.185,3.363,-0.0,2.551,-0.0,1.805,-0.0,1.495,-0.0,1.026,0.001,13.139,7.492,6.306,966,1388,1400,1245,1282,1631,1375,1378,18,-19.857,-17.944,-18.711,-17.56,2499,2204,2501,685,28,0,1
-15.698,-16.947,5.512,4.01,1.916,3.252,2.457,1.199,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.19,0.114,-4.975,0.089,1.911,0.195,1.914,0.187,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,13.139,7.492,6.306,965,1387,1400,1245,1283,1634,1375,1378,18,-19.857,-17.944,-18.711,-17.56,2500,2203,2501,687,29,0,1
