CPT,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
CPT2,3.465513727405257e-05,-1.695853132411546e-05,-8.060438195566632e-06,1.5014160205137691e-06,-6.487158374557924e-07,1.3820183772882712e-07,7.906854688277197e-08,-1.934382719266671e-07,2.918234010908415e-08,-2.398071265434153e-07,1.5773627829146635e-07,8.016681891829066e-08,7.848041950252218e-09,1.2013891807381369e-17,4.140720562652647e-18,3.5116927201979224e-18
CPT3,5.6335575543654594e-05,-1.4051654429035683e-05,-3.1712138501178742e-06,-9.907479665037993e-08,-1.889698074263918e-07,-6.102330612391874e-08,-4.3550875781306884e-07,3.9846892509710313e-07,-2.3867033002517285e-07,3.543714107593303e-07,-2.54134751240576e-07,-1.433864375590382e-07,1.5016716469822637e-08,-2.10462276404276e-17,-6.637985449395138e-18,-6.952446431063297e-18
CPT4,0.00017842917059107558,1.6173710629443757e-05,-1.1032002363357144e-06,-8.796174340902949e-07,-1.0517561737952828e-06,-2.3318012639828305e-07,5.5955298288047764e-08,-3.751676389956084e-08,-8.579584272993492e-10,5.009337383481241e-07,3.1353828362000536e-07,1.6030982937498694e-08,-8.658706303943311e-08,6.129130406332117e-18,-1.9697751188398754e-18,6.625915229896764e-19
CPT5,-0.00020558469071471497,1.4035299707090694e-06,3.3637866794758336e-07,1.0849028278917994e-07,-7.234977544711285e-07,-1.084324674248779e-07,5.28228635496549e-07,6.631399524370827e-07,6.075473097401294e-07,1.4898928207445123e-07,-5.089947433316962e-08,4.2261155399715076e-08,3.612064441835581e-08,1.0844562823696807e-17,8.809989684391978e-18,4.73618472457242e-18
CPT6,0.0001804414198464266,1.7190484266424277e-05,-1.2594384862380567e-06,-1.3572125483516594e-06,-5.121765728745624e-07,1.243334422559581e-08,7.3524576270516e-07,-3.9876699749814254e-07,6.766575265699906e-09,-1.5680732102882454e-07,-1.9532508251659035e-07,-6.587256396763813e-08,8.585739399035878e-08,-1.5637922272208893e-17,-2.15188720249955e-18,-5.388611852195045e-18
CPT7,-0.0002640340695898566,1.7441946151548383e-05,-2.12366092594911e-06,1.2639274321947342e-06,2.1090421100709468e-06,-3.654448733501159e-07,2.1344030890922935e-07,7.719421456335426e-08,-4.901020755063137e-07,7.023194769204607e-08,4.8457194422304354e-08,1.9198870560507632e-08,8.934326568133198e-09,3.077270697374873e-18,-2.0752307207730358e-19,5.624298769768554e-18
CPT8,0.00016792462680279845,1.0672736105154438e-05,2.1693734185021193e-06,1.4760608943991227e-06,-3.56997039779519e-07,4.531818365284261e-09,-3.888601610763342e-07,5.680773643696153e-07,-8.440699406238837e-08,-5.542115785659896e-07,2.2229717155584672e-07,-4.908266874565221e-08,4.225533649873827e-09,-1.920223691425499e-18,-5.276168228447037e-18,2.337810934421869e-19
CPT9,7.271918709385726e-05,-1.1953982003468248e-05,1.5904828747296517e-06,-1.4877780661133688e-06,1.0995368609935081e-06,-1.770691004476102e-06,-1.8886718606999285e-07,-1.6916198274809627e-07,2.0475622607281345e-07,-1.2133971034687855e-07,-4.1321134222789716e-09,1.8496852338714793e-08,-4.044323469861286e-09,2.6027204886756514e-18,-8.584678920422334e-19,1.1524942038578824e-18
CPT10,-0.0002392077063407393,1.0186067659924633e-05,-9.085602652397337e-07,-7.003415978877533e-07,1.1950380660808037e-07,4.830585378125351e-07,-8.407591088651289e-07,-4.6297683684794593e-07,4.559118100950367e-07,-8.915742357339716e-08,3.795250582319604e-08,-7.303495714252816e-08,-1.2308031485665703e-08,-1.3742262536253769e-17,-3.4389537658524594e-18,-1.1878366535820681e-17
CPT11,0.0001552219266818435,6.7586611460886645e-06,1.915080392056993e-06,2.998603280422093e-06,1.8712953309445588e-07,1.9159565020823714e-07,-3.1575048626506644e-07,-1.4367915440596931e-07,9.84455688276163e-08,9.468171704025739e-08,-4.4355497436829396e-07,1.0287130591728818e-07,-3.488000839340041e-08,1.1115189850344556e-17,7.369186641112413e-18,1.1894460161818513e-18
CPT12,-0.00018305962772335836,-3.0405908179140987e-06,1.5645023441727914e-06,-2.9323688741023203e-06,-1.7609067675924094e-06,1.1275727404586913e-07,-4.1911532103412434e-08,5.065726452399976e-08,-4.4776346513005016e-07,-2.471432019151246e-07,-1.8957462790948916e-07,6.739796970581363e-08,-5.035249622915547e-08,1.0334648989449718e-17,-9.778995376050897e-19,4.57800132167268e-18
CPT13,-0.0001255566497317226,-1.4299007059815399e-05,5.2695094695582375e-06,2.8195908018329795e-06,-1.1543081990655014e-06,-8.619452821055079e-08,3.5099987148538055e-07,-4.156679817010001e-07,-1.5765723571747224e-07,1.3391686621397745e-07,1.724975386772615e-07,-6.282049772586285e-08,1.8004934053450724e-08,-1.2420044105589806e-17,-5.144454605148993e-18,-3.736685846812346e-18
CPT15,9.926560765685656e-05,-6.9933151440324984e-06,2.612153570868554e-06,-1.7732337271157526e-06,9.236087292961046e-07,7.821073737647991e-07,-3.9529143343731337e-07,2.048519118485162e-08,-1.1399229428146385e-07,2.3268659007271875e-07,1.8353215927588318e-07,9.436936736588398e-08,1.0593171362707105e-07,1.5493079638228408e-17,1.426297604057835e-17,1.4898250751019075e-17
CPT16,7.245009260982846e-05,-1.253005515091297e-05,1.1690312216102307e-06,-9.384616678396218e-07,1.958507112396304e-06,9.002804698316332e-07,6.440102418633223e-07,4.318507685127821e-08,1.3084052303974937e-07,-1.2734519022761753e-07,1.6098921248842129e-09,-4.659619800294596e-08,-9.376738210929743e-08,-7.408785431396551e-18,-7.297188840595797e-18,-1.0136125642436992e-17
