CPT,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
CPT2,-0.03244789025143682,0.02756910350846222,-0.018274700180231394,0.003449102783946994,-0.0007592885915738783,0.00024929435685728564,0.0001725025798774598,-0.0001228789449170542,0.0002816709734606089,-3.167374893477885e-05,-0.00021284878440612953,4.9836749000036054e-05,-3.861215801335689e-05,7.419986933904221e-14,1.9712530219262447e-14,5.979808662126551e-15
CPT3,-0.12062855833203207,0.021982092088130234,-0.00948491578102863,-0.0022661362023628532,0.00017215047646972938,-0.0009598146739462849,-0.00026258812925753633,0.0006352446490098355,-0.00029783483161361854,-5.4535262945898215e-06,0.0003961512407314252,-5.192026222343844e-05,6.335798321073071e-05,-1.3694308274164735e-13,-2.988321395891447e-14,-1.1602697969070874e-14
CPT4,-0.4038160972647709,-0.02398872129754865,-0.00276649242874058,0.00019576836306658008,0.0018615337275334019,0.0006373132789282109,-0.0008239710409842149,-0.0003428927772578076,-0.0003267117320693222,0.0006536642383534325,-0.00017263770729703323,-0.00017272730164394177,1.4897190197088808e-05,8.064143970643034e-14,-1.6306400674181987e-14,-1.9099305470504646e-15
CPT5,0.4582255673873797,-0.001975074185297909,0.0042030112109480685,0.0053653488516482595,-0.0018254770992424795,0.0009555766576211829,-5.216468685335235e-05,0.0003375603292678671,-0.0011481301046925955,-0.0003077633220770794,-2.791970498388502e-05,-0.00011800904173472161,1.0506682901747708e-05,3.6199775815815016e-14,-1.432708118809245e-14,1.3810133592251361e-14
CPT6,-0.4020220693246307,-0.022953026762074145,-0.0011683134610755985,-0.0006220236653562304,-0.00037064576337692,-0.00023220993142716168,-0.0009209637374298875,-0.0012248245491532014,-0.000506645585890423,-0.0003534559653746291,0.0002487675043255609,9.117874572263195e-05,-4.532179421130791e-05,5.911243716738568e-14,2.9759181230382126e-14,1.4084219901455697e-14
CPT7,0.5599870398988734,-0.027806189221939687,-0.0012856807943773677,-0.0011984290320419429,-0.005775300318209066,-0.0020616997608462855,-0.00045197072620815557,-0.00012333712796416124,0.0005710075324065408,0.00016219557675841226,-4.536328182674562e-05,-1.7350827002129933e-06,7.991331171616767e-06,-1.1359836682434121e-14,-4.683753385137379e-15,-5.717648576819556e-15
CPT8,-0.43042088368252523,-0.023122011915811064,0.003609231188060155,0.002457834394465624,0.0014806245411943513,-0.0007213115733156507,-0.0004031586924053941,0.0017034680465296131,0.000579871606895134,-0.00016062862817864398,1.9873470901916532e-05,2.058199030882408e-05,-3.1725183115098414e-05,2.1683392928406597e-14,1.2620113287731272e-14,5.341213582532589e-15
CPT9,-0.15799990654868654,0.02386826557721332,0.006273361519994018,-0.003397569380803738,-0.0013741010447917024,0.0005340766312511534,-0.0012928873380917499,0.00034824496307114036,-0.0004441457131250468,-7.664505986597347e-06,-0.00030321233154134014,0.00019788057353792985,2.6149664094355513e-05,-1.9689881235879225e-13,-1.6427831317500363e-15,-1.508775743230828e-14
CPT10,0.5248067735510029,-0.01686009601324684,-0.0014731249645186751,-0.0008917174567771025,0.001543969488129137,0.003210715799108931,0.00031604428269480997,0.00020313255288337273,0.00031858811641142376,0.00025891401705730767,0.00020803641316855317,0.0001439636469216844,-3.399501653558387e-06,-8.527640399380587e-14,1.5046991430622825e-14,-1.4363510381087963e-14
CPT11,-0.3856675944457103,-0.018347793528767163,0.0011238115289144788,0.001532276773810383,3.231760043264677e-05,5.92894752268619e-05,0.0019356599525784798,-0.0005454309345549711,0.0003189448623259414,-0.0002448434222041482,-0.00012704634637451633,7.07370464856972e-05,7.319786011677435e-05,-1.7816412407889448e-13,-3.076879029340063e-14,-1.9389004290992773e-14
CPT12,0.47200955935381367,-0.006636273671747846,-0.002151410775575447,-0.0051552849132838405,0.005194695405199911,-0.0008951238263021702,0.00039133897656330567,-2.1916754073918188e-05,-0.00010081737875623775,-0.00037139992216774463,-0.00019870732769885179,-9.336290001408663e-05,-1.6810390284812196e-05,9.737761812178558e-14,-5.330805241676728e-15,1.497933721505973e-14
CPT13,0.27230927547698797,0.025166928573861436,0.008733926358398024,0.004223343052857596,0.003911271343194419,-0.0020493607734546303,-0.00014578590030010427,-0.0006173887574859108,0.00018927603275209134,0.00031829022450116564,9.752701876419249e-05,8.148965102274853e-05,4.1998813795924433e-07,-4.1891728801146666e-14,1.2987874664638355e-14,-9.881852280901882e-15
CPT15,-0.22399538098697439,0.014990619429694227,0.005245823977465028,-0.0027988772345794045,-0.0025779019733028893,-0.0003338529800931637,0.0020689023335203963,0.0002557393167794183,-0.0005215359276762501,0.0003197241345333406,6.004398896521275e-05,-2.8114523461498765e-05,-5.660472799930323e-05,1.302680836465231e-13,2.89906987305244e-14,1.1347693618102284e-14
CPT16,-0.1303398348312907,0.028112177419073542,0.007415472601766539,-0.0008936363345909276,-0.0015138477916588613,0.001607107320393101,-0.0005309578737050166,-0.00048472001213219207,0.0010864621495721549,-0.00022990514998447132,5.733584727082982e-05,-0.00018979929121918184,-4.0469445565481654e-06,1.505736724541351e-13,-1.8819147629134392e-14,1.0476428752292932e-14
