CPT,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
CPT2,3.8042236444864365e-05,2.135061849689684e-05,-1.0973838733264226e-05,-4.703646947919331e-06,2.8364586343901916e-06,-1.8367380149027827e-06,2.3718185954282655e-07,-4.33748664392672e-07,-9.627075231918957e-08,-1.7049311256520576e-07,-4.4319880871494045e-08,2.9453992448258694e-08,-6.320175672728155e-08,7.161134173443075e-18,3.612595520039591e-19,-7.318364664277155e-19
CPT3,5.728295512634314e-05,1.6129797377411736e-05,-4.664112765613477e-06,-1.5809758681174904e-06,-8.258239379331533e-07,-4.897315640212316e-07,-3.4703807893908137e-07,2.1463978151803208e-07,-2.5916229940002605e-07,3.2715380050709526e-07,2.3824057168779605e-07,-4.006725165569884e-08,1.1954649889787913e-07,-1.224383478278131e-17,2.2658131339052534e-20,1.6011040285474412e-18
CPT4,0.00014705233928955966,-1.0755197790607346e-05,8.216215868526802e-06,3.8051338806785694e-07,2.341662946347902e-06,-1.962125199994568e-06,-1.0841310564821349e-06,-5.46262798623993e-08,1.6725257769826124e-07,-1.2081431811733548e-07,-2.797467911165577e-07,-5.2479529069474585e-08,4.641495174525613e-08,-8.079106130029923e-18,2.0159384144652348e-19,9.177601983500344e-19
CPT5,-0.00018829634510725794,-2.330118435789737e-08,3.2380147429966262e-06,6.786456270413959e-06,4.065077734838675e-06,-1.2956228884344372e-06,4.056445939988969e-07,8.926441482102088e-07,-4.519187688696862e-08,1.1405612925997717e-07,1.3915971748555122e-07,4.255163316731867e-08,-2.326708709135101e-08,6.2739730403126026e-18,4.929731753020028e-19,-6.043580078659433e-19
CPT6,0.00015567289609427467,-1.582022839652759e-05,5.690438257831753e-06,-1.4689085277737137e-06,-4.4266912455440067e-07,2.484861264772371e-07,-9.955691526575281e-07,-2.8798439318922786e-07,-3.295720937911801e-07,-2.2800338737552749e-07,3.3591909705720073e-07,8.686410844489622e-08,-3.9837158325258354e-08,1.2369539766109768e-17,2.6808592780598606e-18,8.300922883092143e-20
CPT7,-0.00024793417044712907,-1.737022144853996e-05,-3.519855183388894e-06,-4.775073022412331e-06,1.390797267373784e-06,1.3195823564325899e-06,-1.975697076326895e-07,3.653030188279053e-07,-6.858010207751471e-07,-1.289994763411105e-07,-1.3654487038193204e-07,-4.779923348667915e-08,1.0018379773447148e-08,-9.90975608728328e-18,-3.057788939588024e-19,-3.0535537748517527e-19
CPT8,0.00014484763617511663,-2.151224706383352e-05,-1.6236140720189023e-05,6.438403960898886e-06,-4.120047874298504e-07,5.950355203647687e-07,1.473128099758324e-07,-3.010389788732984e-07,8.242492217846035e-08,7.755220752086244e-08,-5.784197373570381e-08,-6.706192256304006e-10,4.139413116765104e-09,-1.0418505251227894e-19,1.401839527705867e-19,4.122932870760307e-19
CPT9,7.537938482502787e-05,1.2079767475988168e-05,2.310602194652918e-06,3.44530490998503e-07,-3.7638020196395023e-06,5.140139730948239e-07,-7.03000748901615e-07,5.55150823537265e-07,-2.38832575000024e-07,5.186232994151139e-07,-2.2413926960906724e-07,5.6704807061568064e-08,-6.180287000333775e-08,9.218841900119788e-18,1.1409533799515426e-18,6.581446000165914e-19
CPT10,-0.00022013687629466743,-8.635387068848921e-06,-1.9555462722113905e-07,-3.733898339519431e-06,-2.5682633001194764e-07,2.071701730346712e-07,-2.2976449473126055e-07,-4.6538540498382984e-07,8.24973929339675e-07,2.482672998905555e-07,-6.439193092065527e-09,1.1246259385789056e-07,2.995800869152528e-08,1.4891580366559447e-17,4.712891318522927e-18,3.5270451923669066e-18
CPT11,0.00014991384013323983,-1.4327295797804689e-05,5.866737953272599e-06,-3.836604807156767e-06,-1.4003142523019812e-06,-5.879396678046871e-07,2.2584843738610704e-06,1.9280632536201304e-07,3.961177346411036e-09,1.469464570304448e-07,5.71822093034989e-09,-1.7976244418785675e-08,-2.433249046598865e-09,-3.1048522077198413e-18,-1.5195771073742148e-18,-1.3361944742936588e-18
CPT12,-0.00016045997822244635,8.378689687874994e-07,2.541036653178822e-06,1.56440200096916e-06,-3.0104041945768402e-06,-5.718449423601456e-07,-2.716265836220911e-07,-6.550386425327269e-07,1.7985167763898017e-07,9.524842915407273e-08,1.3103870442849268e-07,-1.735218231586575e-07,-6.029129048078378e-08,-1.1522506818855468e-17,-9.510485931771284e-18,-5.3515541607526695e-18
CPT13,-0.00011020800291495815,1.2625486405807422e-05,2.9833364784414184e-06,4.012568580412881e-06,-4.547674195351004e-06,-2.586148189616235e-07,5.621887218334249e-07,-3.739793898384167e-07,-2.4624146341568526e-07,-5.347314394235946e-07,-1.0933810288547754e-07,6.961742696337318e-08,4.614361050684258e-08,1.9534697346052302e-19,5.572206243512415e-18,2.050666765302661e-18
CPT15,8.568983204836551e-05,9.230099665301899e-06,-2.219250375558544e-06,-1.4208843758952552e-06,-6.15256091607797e-07,1.457097150904632e-06,-1.9225704613047874e-07,1.1254859384296423e-06,6.752454808101152e-07,-4.4902849739755056e-07,4.792519186130207e-08,-4.7868367581480836e-08,-1.1233747036472619e-08,-1.8453671547119e-18,-1.9337762185815677e-18,-2.4098087349384845e-18
CPT16,7.31542528496657e-05,1.6190240360326412e-05,6.96237025633478e-06,1.9931171970342884e-06,4.640778350456821e-06,2.6612317961720207e-06,4.1014450988262367e-07,-7.742282822117424e-07,-3.2637683423806495e-08,1.0422260844221827e-07,-3.963142175841547e-08,-1.7271493345780936e-08,5.846295977243851e-09,-1.9804159702397576e-18,-4.722208680942724e-19,4.711620769102046e-19
