CPT,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
CPT2,-4.683777186291763e-05,1.2404423529569607e-05,1.023376581262834e-05,4.688677171003811e-07,-6.073396290239448e-07,-5.1705860704286027e-08,-1.1809787247440504e-07,2.0669107058991067e-07,-2.1422933436892806e-09,4.3128576314531245e-08,-7.753531824268945e-08,5.378496558827985e-09,-3.218282139880802e-08,2.7490454303138318e-18,-5.9830172229307504e-18,3.739650462127736e-18
CPT3,-6.118422025859897e-05,1.294996514992729e-05,3.7859607308392e-06,4.3997511580336857e-07,4.94317236155289e-07,-2.159308781303621e-07,2.937460094601644e-07,-4.0382150283641425e-07,1.2081831335859268e-08,-4.145131992063382e-08,1.0732519825873928e-07,-3.459946232076038e-08,6.555581966817494e-08,-1.1437909403248445e-17,7.148958074826295e-19,-1.307480057381738e-17
CPT4,-0.0001833006279531939,-1.5076239312268328e-05,9.188241024476526e-07,-1.4157565428276124e-06,-7.928175411119462e-07,2.900375221921589e-07,2.2570658240877658e-07,-2.8745849561310246e-07,-2.0839258982493354e-07,-5.295285871857071e-08,-3.550339686359917e-09,5.289952644136444e-08,-6.418236987847232e-08,1.7899076724904248e-17,1.6453826758651598e-17,2.2815044192531393e-17
CPT5,0.00022145951462690407,1.3485000746527979e-06,-1.0020204757720815e-06,4.853902116691395e-07,-1.0806784957595977e-06,6.038061568332076e-07,3.124434074716023e-07,1.8542873768221845e-07,1.3991885235447515e-07,-1.8989948173208782e-07,-4.49266673053135e-08,-1.411575439654713e-08,1.6391869625053994e-08,4.803523843879137e-18,-9.291951431379675e-19,8.992948800998907e-18
CPT6,-0.00019063339832779566,-1.6640362281089503e-05,4.4327930812179006e-07,-1.3140698505554911e-06,-1.0818207589753856e-06,1.9688718767784995e-07,-3.0887950924982836e-07,1.4660701496787557e-07,-4.724834615401006e-09,3.220961465077353e-08,8.328174738454668e-09,-5.017919197918763e-08,8.761239030992561e-08,-2.0174630737702925e-17,-1.9421618447593852e-17,-2.3399920442610488e-17
CPT7,0.00028364716474582944,-1.98091970759201e-05,1.902069847722444e-06,5.028953559718581e-07,1.5599222544921805e-06,-5.8088235443037317e-08,-2.3371763271453877e-07,-2.614194600114972e-07,5.049299099859252e-08,2.4284320150204144e-09,-1.0821881059798697e-07,3.311691984620774e-08,1.817780442337888e-08,-4.946672411965114e-18,-1.435000867590873e-17,-4.454969786083993e-18
CPT8,-0.0001692093342616327,-8.988662991038195e-06,-2.046013622797664e-06,1.436367673278342e-06,-3.867722175197181e-07,-7.422246387739265e-07,-1.9921958582032063e-07,-5.805266976586481e-09,2.1141920229848953e-07,-1.1570950440054851e-07,3.023808209849216e-08,-5.273382183745905e-08,-5.0894564912759726e-08,1.1822885877775524e-17,1.7414573879074788e-17,8.573667492108028e-18
CPT9,-8.041232998286116e-05,1.1362646916849776e-05,-2.221094760155587e-06,-4.0177781826628896e-07,1.6876223213858137e-06,-2.389176146242172e-07,-1.471534890964004e-07,2.4759529641824184e-07,-3.2325075708198425e-07,-1.4309841330027997e-07,-1.996904542395573e-08,3.621696910857703e-08,1.7296241652966104e-08,7.538593230563273e-20,1.588716171693847e-18,1.106923831295601e-17
CPT10,0.0002530224094160041,-1.0952302081346882e-05,9.191165879261841e-07,2.1816927918806792e-07,4.683519933546989e-07,5.596429140868168e-08,7.757361517826381e-08,2.260438121429251e-07,-1.6873185477677189e-07,8.061234201735804e-08,1.7530997438553023e-07,-6.14641726119521e-08,-3.5437191605023385e-08,3.22634849609163e-18,1.728328377225037e-17,-3.9387032047324966e-20
CPT11,-0.00015926677961917684,-6.048650323279564e-06,-2.7467023248259836e-06,2.5775372861821327e-06,-1.0720264467246736e-07,-1.2544247985447004e-09,3.1273412161702813e-07,1.4151516015803833e-07,-2.8071899273860594e-08,1.3463018413614886e-07,-2.29717455073464e-08,8.597378263624126e-08,2.6836493277945e-08,-6.216798316372937e-18,-7.097289065043783e-18,-3.1355042124986063e-18
