CPT,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
CPT2,-0.483120578148915,-0.21373515315724487,0.32396177966112055,-0.07679575201496096,0.008380575287774536,0.01138732533808906,0.06641273737585716,-0.021582463372238063,-0.03853828677659813,0.0216222610893718,-0.017134336960257467,-0.03393328222526842,-0.004281341507310548,1.2224635069279866e-15
CPT3,-0.5177389940155136,-0.02124974374169283,0.1355436415138201,-0.06103618958723491,-0.07226691037848926,-0.02597128365146229,0.04558079255013367,0.014901642153246013,-0.022542366781454087,-0.057526979916280196,0.017938417844189192,0.04947802356369775,8.943286724230232e-05,1.2224635069279992e-15
CPT4,-0.8759436761105607,0.06877293583139284,-0.0793523090668493,-0.08880790398932151,0.04625753876188437,0.024668317069134235,0.005668768746777023,-0.025547355939569062,0.0038699337214796762,0.0362976404276772,0.02291146121278653,0.013767770803617706,0.056393400204137155,1.222463506928005e-15
CPT5,1.343246854984318,0.20858437877164354,0.08162273915429849,-0.014012662422507989,0.058035178069821385,0.014817664513108895,-0.018529544161222492,-0.09379787685979839,0.030220204138232717,-0.02019094423736781,-0.019957176852653684,0.012946488206389259,-0.007288436675247814,1.2224635069279947e-15
CPT6,-0.9073280577071187,0.07891254428919894,-0.1131874513132549,-0.10308370452118633,0.06143653733648103,0.06509128563614466,-0.019648191988346293,-0.002489522463909115,-0.007791718670565992,0.029964852185182578,0.030571217851508087,0.011509385038730925,-0.050861536750484965,1.22246350692798e-15
CPT7,1.4920499185183402,0.11223762827688412,-0.0937995154036746,0.03968261830017569,-0.0918193042420191,0.15094751231572948,0.08230875816880776,0.030727103865486487,0.010128540890429435,0.002816332879010865,0.004078534603627623,-0.009432480444707457,0.0037405084312072635,1.2224635069279882e-15
CPT8,-0.7761488936014405,0.17675292555626732,-0.1430614670819942,-0.02831007363176869,0.032753241768930665,-0.014773825835270368,-0.015287604941121117,-0.0014969148582377595,-0.005514994607079348,-0.06290873021482209,0.01586680321333269,-0.051988148016652296,0.005343238303123849,1.2224635069279858e-15
CPT9,-0.49991194145289564,0.046025705634229544,0.08338446160016745,-0.06417802703885332,-0.06799130847767769,-0.08937729839154404,0.01814427078009071,0.02949010306174374,0.09193879669089546,0.01612951352598951,-0.0029363593209847023,-0.0083711486190992,-0.0071663515879170385,1.2224635069279813e-15
CPT10,1.429691340697005,0.13748047862095553,0.15259653324315445,-0.027630555787564206,0.15018225194179669,-0.02654849921608342,-0.052333943276383146,0.07496955604767686,-0.01351175253122244,0.00348475968047408,0.00032192753229637534,0.0031118539148889766,0.0072965454672486284,1.2224635069279892e-15
CPT11,-0.7995993445260758,0.15120213451006737,-0.20951777865385016,-0.00833346627343054,-0.0014965606707455239,-0.023607347189153027,0.013681561251461007,0.018453563442807887,-0.02361762611956183,0.006486375367604083,-0.07351613370140056,0.012992042518981683,-0.001437604659026402,1.2224635069279886e-15
CPT12,1.1927431380644145,-0.6028381048362682,-0.23656767407918466,-0.027969101688786805,0.036340400735313756,-0.07489732017864591,0.023432124135730273,-0.009550089110734405,-0.0005173218528324509,-0.00222304993971364,0.006568524603330099,0.0007578850117888447,-0.0025302025116926367,1.2224635069279911e-15
CPT13,0.7926260079825317,0.19256987610650206,-0.014211623574302182,0.04079276970959988,-0.17010283525425302,-0.08910859733171601,-0.06645646899901934,-0.016707640762934045,-0.04309627181175387,0.029171054023401144,0.01667880760418589,-0.007779553444708706,-0.0016048041768354016,1.2224635069279884e-15
CPT15,-0.7264943739200478,0.022482396398344918,0.03293417130440639,0.3508473977401288,0.06765128238036373,-0.030008382183893303,0.040111184235954195,-0.00531231715302106,0.002972442412935422,0.008632121176739617,0.013402905687771773,0.005052355027932985,-0.003871641712953252,1.2224635069279927e-15
CPT16,-0.6640714007640426,-0.3571980022602793,0.07965449269614219,0.06883465120571028,-0.05736008725918217,0.10738044910556202,-0.12308444387871974,0.00794221194948165,0.016000421297095828,-0.011755206047266936,-0.01479459331773201,0.001888808664407191,0.006178794308507736,1.222463506927991e-15
