CPT,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
CPT2,-0.44057875071754976,-0.2674552751874394,0.29886356435042366,-0.018966764154178223,0.011396857161513084,0.006377791931232101,0.049635702145850516,-0.010129297869100955,0.026111426154271207,-0.049163667133562725,0.0015973064352966643,0.04068357742987447,0.006266941132940271,-1.0400607514593134e-15
CPT3,-0.5695668569320289,-0.04302029681538641,0.16216213483271932,-0.05367456921884842,0.05784252877332901,-0.009073812076668056,0.044888732626358493,0.005059215522327122,0.04349468667142447,0.0406034665449155,-0.036767173624104116,-0.04728256210225015,-0.006256815262488545,-1.0400607514593134e-15
CPT4,-1.0522936085156949,0.04531898750566879,-0.023822704446797835,-0.08028311174855277,-0.09525301510052252,0.03341563128900051,0.01584790522183498,-0.01588485123811646,-0.0366031085876316,-0.028514091537495696,0.007804776493904233,-0.0331275077625646,0.04938595175027136,-1.040060751459309e-15
CPT5,1.4600403146237597,0.2115610431634764,0.08245088715450188,-0.005522291357882802,-0.04120505867138032,0.024749962065021485,-0.024832525661814892,-0.10667195357885319,0.012832871130571976,0.029950519564717046,0.016305344932702037,0.0055605669350037535,-0.001053222180662294,-1.0400607514593099e-15
CPT6,-1.0776094752646759,0.07712896960915264,-0.05584971134939279,-0.06540101353879046,-0.11258923698836622,0.044568396393015484,0.0049765875804167505,-0.007388981359593733,-0.02014408100143225,-0.029141937263150897,-0.0036799034215375644,-0.006650568656616234,-0.059490115190694796,-1.0400607514593182e-15
CPT7,1.6915978954498037,0.1119526624025487,-0.08322518015870946,0.040997996289930595,0.03146761735614476,0.1683176549624115,0.06320510511066833,0.05102618249729163,0.007771727035245498,3.4926916113185885e-05,0.005430691390589502,0.002760494530476455,0.0033363002796937633,-1.040060751459312e-15
CPT8,-0.9813164159507546,0.22284265424291155,-0.12642321350905644,-0.014518501680023305,-0.02531372736091768,-0.04207142681710707,-0.04711391566151939,0.03379040225071258,0.07544231184767844,-0.005597793076214127,0.038871865844814064,0.003429692080425317,0.005541354167119937,-1.04006075145931e-15
CPT9,-0.564055658761362,0.010071199204025725,0.10224855681135336,-0.06061223789261988,0.0522959399486608,-0.04841364519244806,0.04281198115581533,0.03181931084989794,-0.05092425521369912,0.057414070849148596,0.04363877412366066,0.014002309033270757,-0.006251688681220368,-1.040060751459317e-15
CPT10,1.6447148035585508,0.12061816927585813,0.17258567718200668,0.06397692024642132,-0.14964943257133806,-0.08170822169179827,-0.05362860890786146,0.05606787811693828,-0.015479010370642067,-0.0024086999864638393,-0.02131815463795019,-0.0006480744097231941,0.0028138552570116625,-1.0400607514593115e-15
CPT11,-0.9828990987338508,0.2064929595107948,-0.18952992593981588,-0.019470621435438193,0.006916409912763027,-0.01560238034258742,0.01502837492559902,-0.008154517879687379,-0.007057620688329969,0.024229873054271378,-0.05158432895075829,0.04629696889723598,0.013946789350741038,-1.040060751459307e-15
CPT12,1.469767546737384,-0.48322260024753405,-0.27408540476997945,-0.06014397475102923,-0.0324807698609897,-0.08402940306404877,0.0421001798371215,-0.011577329725647695,0.007781190231524463,-0.0017066372526166698,0.003244969298956761,-0.004351486610580863,-0.0022406147249835547,-1.0400607514593136e-15
CPT13,0.8376863476394769,0.19173191875775186,-0.015339765388076245,-0.08312378872492938,0.22004530341937417,-0.045096377745514934,-0.05342646105305861,-0.002064804601938165,-0.02226534030572226,-0.04758665682263487,-0.005601849773847054,-0.009813660990101737,-0.004734382292564717,-1.040060751459312e-15
CPT15,-0.7686254989880005,0.006619704147785059,-0.048931383761348146,0.314901953269028,0.04555434164720394,-0.04024217812256458,0.03701926922114607,-0.021569445252994073,-0.01215194508869831,-0.012140903536625726,0.0055755559037548785,-0.013641340327281693,-0.0035441282615709573,-1.0400607514593134e-15
CPT16,-0.6668615441450585,-0.41064009556961273,-0.0011035310078297415,0.04184000469691291,0.030972242334525602,0.08880800841205633,-0.13651232654055767,0.005678192268763924,-0.00880885181456022,0.024027529679598907,-0.0035178740154818387,0.002781591952831786,0.002279774656407866,-1.0400607514593083e-15
