CPT,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
CPT2,-0.5530478153598166,-0.01543309526700035,0.06613778290232483,-0.08351410403771811,0.0036385217833808064,-0.02640656692496708,0.015062154318452897,0.10542307441634796,0.012125886070003205,0.03733161416782394,-0.0050721683087351,-0.030028704691816923,-0.038234937105775454,9.710414856154553e-16
CPT3,-0.5033764169549994,0.025823884375642814,0.10070178521558118,-0.10875253505941941,0.013184758458731337,-0.011338660884594929,-0.017434565832224032,0.04603077282749667,0.016380079418448046,-0.030203263166391114,-0.01667519127285135,-0.003996259955093687,0.06699588282796862,9.71041485615472e-16
CPT4,-1.048297626698787,0.0007710197045348326,-0.019218116771514006,-0.11667028829102524,-0.08822171668484242,0.0035552354230299296,0.04341817130534434,-0.04248035889721029,0.0544602216625456,-0.03150075407577153,0.05748593418366308,0.005260364162063727,-0.013819648306771837,9.710414856154685e-16
CPT5,1.3648309537630008,0.15447242383986326,0.0075887344708838,-0.05662662011981765,-0.010517275567792864,-0.03978494908649528,0.04589692778907253,0.007268092498646197,-0.07392113546923532,-0.06675220374841707,-0.00434168779945321,-0.006791663314734257,-0.018481303082172027,9.710414856154658e-16
CPT6,-0.903714923178351,0.02189194212224572,-0.07271447535400904,-0.03977549673929699,-0.08486054187953754,0.07041119160783084,-0.006468506289782329,0.018589007178386536,-0.07376471224460779,0.04089082966839856,0.008565260339702712,0.04289853989730669,0.009300783739831136,9.71041485615469e-16
CPT7,1.6596445898895371,0.14358451363815863,-0.03945494368940975,0.09193773961423833,-0.04993093928344228,0.16798902243244107,-0.013628825506939887,0.036906351885161434,0.049597268807392125,-0.009812783013716726,-0.006604790846501435,0.0063372694171360275,-0.002434185869601573,9.710414856154656e-16
CPT8,-0.8230708718428703,0.16729387479217153,-0.2750616646254686,0.011496794227273803,0.15517594465860324,-0.005100994023743053,-0.048010658414763575,0.007738606795972373,0.004408355784579566,-0.016215064871028903,0.006525486984910635,-0.003382220607656126,-0.003733463735651903,9.710414856154661e-16
CPT9,-0.35297014871965166,0.04147687060890795,0.12054536221975774,-0.06147636252710163,0.022018455794668563,-0.020570722378023473,-0.0668907428717617,-0.04724886790759566,0.02364834125739897,-0.007922057357450689,-0.05801648788819967,0.03711084098724999,-0.03053587420226638,9.710414856154618e-16
CPT10,1.4043560358501164,0.11047384636832927,-0.1226440283369045,-0.04322728146828457,-0.019203068953721352,-0.11781300994524782,0.07273037950362901,-0.028369595070155216,0.029010254823524515,0.05148496845555756,-0.01924700772285436,0.007703060023947746,0.01675651827551325,9.710414856154618e-16
CPT11,-0.712552613751143,0.06887408974012099,-0.027776771453229675,0.04505745855571799,-0.09040921798806129,0.03692306015216404,-0.03160039525486487,-0.06684376797615466,-0.0202316261111403,0.012053838737417428,-0.028833037038926566,-0.06035081979315953,0.005298446802441626,9.710414856154555e-16
CPT12,0.7327221315796503,-0.7845331336807666,-0.06334645890423227,0.012537507182487436,-0.007773951516422512,-0.02258810343860576,-0.04025910632500454,0.0006905960363018082,-0.003431050755683733,-0.008074960210892887,0.004431294279978153,-0.0015687921216859522,7.7116653612679e-05,9.710414856154654e-16
CPT13,1.0957957973700398,0.1256202103203687,0.16621854398672062,-0.02135594287197841,0.08956523595927103,0.005161949080265474,-0.06598094723200498,-0.03678635071994362,-0.016836822431187486,0.03577602519246929,0.05745289304315251,-0.007887547893875285,0.0045596035795394865,9.710414856154656e-16
CPT15,-0.611806993961409,0.10415071748172938,0.06170309461023751,0.27458242907253316,-0.05347926468266262,-0.12089759390883488,-0.015181813505584469,0.02627236048252054,0.004803106308744111,-0.012139546673229567,0.015403460096082055,0.012452762904354925,0.0020592306441797503,9.71041485615467e-16
CPT16,-0.7485120979853156,-0.16446716404430597,0.09732115572926242,0.09578670246239152,0.12081305990182761,0.08046014189478067,0.1283479283164317,-0.027189921549774274,-0.00624816712078138,0.005083356895232571,-0.011073958049968318,0.0022431709859618326,0.0021918297791519194,9.710414856154632e-16
