CPT,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
CPT2,-0.10300341746725412,-0.15836176074296796,0.31296963103049,0.06468153119425152,-0.05304575337332699,0.041577237535003454,-0.01059606260671238,-0.05792832559724075,0.01872999192066267,0.028171627798433498,0.025823166783516868,-0.04603319709538728,0.010411317896193931,-2.7720324824860842e-15
CPT3,0.440026356867828,-0.08996211735055802,0.17203676519498792,0.10553495499514337,0.005743021836922676,0.019271583199642464,0.002425249904268048,-0.04839974504009264,-0.007527452201285165,-0.0025968062693979086,-0.007962664968952069,0.06626603694116764,0.02553306479243396,-2.7720324824860984e-15
CPT4,1.561252066970082,-0.022627784859068748,-0.07403858848561168,0.10177221559549218,0.025740108610178343,0.04049101923944686,-0.06680289845451888,0.03268328502547615,-0.047015228579491,0.038484654816601946,-0.06046654102690714,-0.01365163121122229,-0.01134267703940187,-2.772032482486058e-15
CPT5,-1.594901337645423,0.2506368081405797,0.03132805365868513,0.06939743266432793,-0.0018249714090973958,-0.028248144879722898,-0.06382501225371373,0.012627577524615059,0.07930078010228443,-0.04532518696492652,-0.03901025998786567,-0.007704943364223059,-0.0009751897295961514,-2.7720324824860992e-15
CPT6,1.656968337468829,0.04127346071668957,-0.1752319708482505,0.027212095849414128,0.022902470956082818,0.07169998480811046,-0.022871467103432942,0.003048190452894894,0.06582438077129482,0.02014455383885028,0.047613588842405845,0.016697096077701187,-0.03449776317579562,-2.7720324824861146e-15
CPT7,-2.0084806859720468,0.2671735472558917,-0.019067390884643667,-0.13985520189010503,-0.002009092441966792,0.18179428625952845,0.029594154753855975,-0.025969297889056768,-0.027941158224781198,-0.00020118959680995495,-0.011540407558589719,0.003648326542459616,-0.006100981536995767,-2.7720324824860795e-15
CPT8,1.5385969430099387,0.14686739850371744,-0.13079063577965752,-0.03751873897938028,-0.2371154499174205,-0.05653968103217335,0.07090605601281193,-0.03653200035483396,0.002946325174034639,-0.005937973366566063,-0.018112515653038865,-0.0034103143828865027,0.0015601818513230564,-2.7720324824861004e-15
CPT9,0.6040087729609286,-0.030066335024368892,0.06331589126003388,0.0767221975671244,0.06994297946486779,-0.026043308675040653,0.038534986884869865,-0.02502342628654157,-0.05659793084430897,-0.06441734588038221,0.016379994333609614,-0.011305334674319286,-0.03914766369991633,-2.7720324824860933e-15
CPT10,-1.9337085021068856,0.2927815588124854,-0.021557591859394366,0.0411191400714919,-0.07702858999101919,-0.08795524618092578,-0.06680815947051381,0.04654151206917902,-0.05051084482029562,0.022175693216089712,0.045365018913904584,0.009502777342734827,1.5823989889597304e-05,-2.7720324824860854e-15
CPT11,1.5401910422762626,0.08789135895494818,-0.1731874479220146,-0.03446355398626371,0.07948036181743835,0.02554093201062295,-0.024753732808648992,0.013111033975761223,-0.011365025451510604,-0.03042727917406035,0.0241040165288515,-0.019108824559748445,0.0578497958733049,-2.772032482486056e-15
CPT12,-2.149709337647264,-0.6547336273103301,-0.26608079614887226,-0.0036558700906072607,-0.0038861795105683515,-0.026872596150225487,-0.005505778548555589,-0.03240942502683776,0.0013100988612273034,0.0010495422859991212,-0.0035320290660401745,-0.00125183063673392,0.0013374427570726592,-2.772032482486082e-15
CPT13,-0.7757187003953486,0.17215272813524915,-0.02328755766311802,0.06321269758681754,0.1306449418039757,-0.06389576714519733,0.14251893735486787,0.029835826235288045,0.01954952569102941,0.036953580246008054,-0.007694890858150497,-0.005992884347066493,0.006935072429629647,-2.7720324824860957e-15
CPT15,0.787138695860943,0.023219161137338046,0.11253419035760821,-0.23635408595124646,0.09559012063362911,-0.11564080293787088,-0.048761007134295195,-0.04812385709345103,0.004524148048313673,0.0164591011073705,-0.01119768630610603,0.005515816961909912,-0.010311606809590713,-2.772032482486094e-15
CPT16,0.43733976581941153,-0.3262443963696066,0.19105744808975522,-0.09780481462646022,-0.05513396847969411,0.024820503948802728,0.025944733469716492,0.1365386520048404,0.008772389552823995,-0.014532972057209898,0.00023121002336118796,0.00682890640561328,-0.0012668175985504591,-2.7720324824860957e-15
