THERM_FPGA,THERM_DCB,VMON_6V,VMON_3V7,VMON_1V8,VMON_3V3D,VMON_2V5D,VMON_1V2D,VMON_VCC_FLASH0,VMON_VCC_FLASH1,VMON_VCC_FLASH2,VMON_VCC_FLASH3,VMON_3V3_HK,VMON_GND,GND_RES,GND_RES2,SPE_P5_V,SPE_P5_C,SPE_N5_V,SPE_N5_C,SPE_1VA8_V,SPE_1VA8_C,SPE_1VAD8_V,SPE_1VAD8_C,SPE_3VD3_V,SPE_3VD3_C,SPE_2VD5_V,SPE_2VD5_C,SPE_1VD8_V,SPE_1VD8_C,SPE_1VD5_V,SPE_1VD5_C,SPE_1VD0_V,SPE_1VD0_C,SPE_FPGA_T,SPE_ADC0_T,SPE_ADC1_T,PFPS_DCB_1V8,PFPS_DCB_3V7,PFPS_DCB_5V,PFPS_SPE_1V5,PFPS_SPE_2V3,PFPS_SPE_3V6,PFPS_SPE_P5V5,PFPS_SPE_N5V5,PFPS_MOT_A,PFPS_PA3_T,PFPS_PA2_T,PFPS_PA1_T,PFPS_PA0_T,PFPS_CAR_T,PFPS_PFPS_T,PFPS_BAT_T,VMON_PDU_COMMS,VMON_PDU_PFPS,VMON_PDU_CAROUSEL,ADC_PWR
-11.58,-12.693,5.518,4.01,1.915,3.25,2.455,1.198,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.19,0.111,-4.986,0.086,1.909,0.195,1.916,0.182,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,14.26,8.855,7.684,966,1388,1401,1247,1284,1635,1376,1380,17,-10.146,-0.872,-3.73,-1.282,2499,2152,2500,748,24,0,1
-11.58,-12.693,5.518,4.01,1.915,3.25,2.455,1.198,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.19,0.112,-4.986,0.087,1.909,0.195,1.916,0.184,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,14.378,8.984,7.684,966,1388,1402,1247,1285,1637,1376,1380,18,-10.146,-1.282,-4.136,-1.282,2499,2152,2501,747,24,0,1
-11.58,-12.693,5.518,4.008,1.915,3.25,2.455,1.198,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.177,0.114,-4.975,0.089,1.911,0.195,1.916,0.187,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,14.435,9.052,7.884,966,1388,1401,1247,1284,1636,1376,1379,17,-10.146,-1.282,-3.73,-1.282,2499,2152,2501,749,24,0,1
-11.52,-12.693,5.518,4.01,1.915,3.252,2.455,1.198,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.177,0.119,-4.975,0.094,1.911,0.195,1.914,0.188,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,14.553,9.052,7.884,965,1388,1402,1247,1284,1637,1376,1379,18,-10.146,-1.282,-4.136,-1.282,2499,2152,2501,749,24,0,1
-11.52,-12.693,5.518,4.01,1.915,3.25,2.455,1.198,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.177,0.122,-4.975,0.097,1.911,0.195,1.914,0.189,3.363,-0.0,2.551,-0.0,1.805,-0.0,1.495,-0.0,1.026,0.001,14.553,9.052,7.884,966,1388,1402,1247,1284,1636,1376,1379,18,-10.146,-1.282,-4.136,-1.692,2499,2152,2501,747,24,0,1
-11.52,-12.63,5.52,4.01,1.915,3.25,2.455,1.198,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.177,0.125,-4.975,0.1,1.911,0.195,1.914,0.191,3.365,-0.0,2.551,-0.0,1.805,-0.0,1.495,-0.0,1.026,0.002,14.67,9.181,8.015,965,1387,1402,1247,1284,1636,1375,1378,17,-10.146,-1.282,-4.136,-1.282,2499,2152,2501,749,24,0,1
-11.459,-12.63,5.518,4.01,1.915,3.25,2.455,1.198,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.177,0.123,-4.975,0.098,1.911,0.195,1.914,0.188,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,14.67,9.181,7.884,966,1388,1402,1247,1284,1637,1376,1379,18,-10.541,-1.282,-4.136,-1.692,2499,2152,2501,747,24,0,1
-11.459,-12.63,5.518,4.01,1.915,3.25,2.455,1.198,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.19,0.111,-4.986,0.086,1.909,0.195,1.916,0.182,3.365,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,14.73,9.113,7.945,966,1388,1402,1247,1285,1637,1377,1380,18,-10.541,-1.692,-4.136,-1.692,2499,2152,2501,748,23,0,1
-11.459,-12.63,5.518,4.01,1.915,3.25,2.455,1.198,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.19,0.113,-4.986,0.088,1.909,0.195,1.916,0.185,3.365,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,14.73,9.113,7.945,966,1388,1402,1248,1284,1637,1376,1380,17,-10.541,-1.692,-4.541,-1.692,2499,2152,2501,749,24,0,1
-11.459,-12.63,5.518,4.01,1.915,3.25,2.455,1.198,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.177,0.116,-4.975,0.091,1.911,0.196,1.914,0.187,3.365,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,14.787,9.181,8.015,966,1388,1402,1247,1285,1637,1376,1379,17,-10.541,-1.692,-4.541,-1.692,2499,2152,2501,750,24,0,1
-11.398,-12.63,5.518,4.01,1.915,3.25,2.455,1.198,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.177,0.119,-4.975,0.094,1.909,0.196,1.914,0.188,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,14.848,9.243,7.945,966,1388,1402,1247,1284,1636,1376,1379,18,-10.541,-1.692,-4.541,-2.101,2499,2152,2501,749,24,0,1
-11.398,-12.568,5.521,4.008,1.917,3.25,2.455,1.198,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.177,0.122,-4.965,0.097,1.909,0.195,1.911,0.19,3.365,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.013,0.002,14.848,9.243,8.076,965,1387,1402,1195,1281,1624,1372,1375,17,-10.936,-2.101,-4.945,-2.101,2498,2151,2500,745,29,0,1
-11.398,-12.568,5.518,4.01,1.915,3.25,2.455,1.198,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.177,0.125,-4.975,0.1,1.911,0.196,1.914,0.19,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,14.905,9.31,8.145,966,1388,1402,1246,1284,1636,1375,1379,18,-10.541,-1.692,-4.541,-2.101,2499,2153,2501,747,24,0,1
-11.398,-12.568,5.518,4.01,1.915,3.25,2.455,1.198,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.177,0.124,-4.975,0.099,1.911,0.195,1.914,0.188,3.365,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,15.022,9.31,8.145,966,1388,1402,1247,1285,1638,1376,1379,17,-10.541,-1.692,-4.541,-2.101,2499,2153,2501,749,24,0,1
-11.398,-12.505,5.521,4.008,1.913,3.25,2.455,1.198,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.19,0.111,-4.986,0.086,1.909,0.195,1.916,0.183,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.016,0.002,14.965,9.372,8.076,965,1387,1402,1197,1282,1623,1373,1376,17,-10.936,-2.101,-4.945,-2.509,2499,2152,2500,748,29,0,1
-11.338,-12.505,5.52,4.01,1.915,3.25,2.455,1.198,0.0,0.0,0.0,0.0,3.246,0.0,0.0,0.0,5.19,0.114,-4.986,0.089,1.909,0.196,1.916,0.186,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.495,-0.0,1.026,0.001,15.082,9.372,8.076,966,1388,1402,1247,1285,1636,1376,1380,17,-10.936,-2.101,-4.945,-2.101,2499,2153,2501,749,24,0,1
