THERM_FPGA,THERM_DCB,VMON_6V,VMON_3V7,VMON_1V8,VMON_3V3D,VMON_2V5D,VMON_1V2D,VMON_VCC_FLASH0,VMON_VCC_FLASH1,VMON_VCC_FLASH2,VMON_VCC_FLASH3,VMON_3V3_HK,VMON_GND,GND_RES,GND_RES2,SPE_P5_V,SPE_P5_C,SPE_N5_V,SPE_N5_C,SPE_1VA8_V,SPE_1VA8_C,SPE_1VAD8_V,SPE_1VAD8_C,SPE_3VD3_V,SPE_3VD3_C,SPE_2VD5_V,SPE_2VD5_C,SPE_1VD8_V,SPE_1VD8_C,SPE_1VD5_V,SPE_1VD5_C,SPE_1VD0_V,SPE_1VD0_C,SPE_FPGA_T,SPE_ADC0_T,SPE_ADC1_T,PFPS_DCB_1V8,PFPS_DCB_3V7,PFPS_DCB_5V,PFPS_SPE_1V5,PFPS_SPE_2V3,PFPS_SPE_3V6,PFPS_SPE_P5V5,PFPS_SPE_N5V5,PFPS_MOT_A,PFPS_PA3_T,PFPS_PA2_T,PFPS_PA1_T,PFPS_PA0_T,PFPS_CAR_T,PFPS_PFPS_T,PFPS_BAT_T,VMON_PDU_COMMS,VMON_PDU_PFPS,VMON_PDU_CAROUSEL,ADC_PWR
30.896,29.534,5.561,4.018,1.895,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.177,0.115,-4.996,0.091,1.906,0.199,1.914,0.18,3.363,0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.026,0.001,44.372,38.627,36.553,968,1392,1412,1253,1307,1672,1387,1389,15,27.26,28.174,27.717,28.174,2491,1199,2492,619,28,0,1
30.979,29.616,5.561,4.016,1.895,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.177,0.116,-4.996,0.092,1.906,0.199,1.914,0.182,3.363,0.0,2.551,-0.0,1.802,-0.0,1.498,-0.0,1.026,0.001,44.372,38.778,36.699,968,1391,1412,1253,1308,1673,1387,1389,15,27.26,28.174,28.174,28.174,2491,1198,2492,618,29,0,1
31.02,29.657,5.561,4.016,1.895,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.163,0.119,-4.996,0.095,1.906,0.199,1.914,0.184,3.363,0.0,2.551,-0.0,1.802,-0.0,1.5,-0.0,1.026,0.001,44.531,38.778,36.699,968,1391,1412,1253,1307,1673,1387,1389,15,27.26,27.717,27.717,27.717,2491,1195,2491,617,35,0,1
31.103,29.74,5.561,4.016,1.895,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.163,0.123,-4.986,0.099,1.906,0.199,1.911,0.186,3.363,0.0,2.551,-0.0,1.802,-0.0,1.5,-0.0,1.026,0.001,44.691,38.93,36.846,968,1391,1413,1252,1307,1671,1386,1388,15,27.26,28.174,28.174,28.174,2491,1195,2492,616,29,0,1
31.186,29.822,5.561,4.016,1.895,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.163,0.126,-4.986,0.102,1.906,0.199,1.911,0.187,3.363,0.0,2.551,-0.0,1.802,-0.0,1.5,-0.0,1.026,0.001,44.851,38.93,36.846,968,1391,1412,1252,1308,1674,1386,1388,15,27.26,28.174,28.174,28.174,2491,1193,2492,616,29,0,1
31.228,29.904,5.562,4.014,1.893,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.15,0.13,-4.975,0.106,1.904,0.199,1.911,0.189,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.5,-0.0,1.026,0.001,44.973,39.038,36.801,968,1391,1413,1252,1306,1671,1386,1388,15,27.26,28.174,28.174,28.633,2491,1192,2492,617,29,0,1
31.311,29.945,5.561,4.016,1.895,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.163,0.126,-4.986,0.102,1.906,0.199,1.911,0.185,3.363,0.0,2.551,-0.0,1.802,-0.0,1.5,-0.0,1.026,0.001,45.012,39.081,36.992,968,1391,1413,1252,1308,1674,1386,1388,15,27.26,28.174,28.174,28.633,2491,1191,2492,619,29,0,1
31.394,30.028,5.561,4.018,1.895,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.177,0.115,-4.996,0.091,1.906,0.199,1.914,0.18,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.5,-0.0,1.026,0.001,45.173,39.081,36.992,968,1391,1412,1253,1308,1672,1387,1389,15,27.26,28.174,28.174,28.633,2491,1189,2492,616,29,0,1
31.436,30.11,5.561,4.014,1.893,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.163,0.116,-4.986,0.092,1.904,0.199,1.911,0.183,3.363,-0.0,2.551,-0.0,1.802,-0.0,1.5,-0.0,1.013,0.002,45.296,39.19,37.095,967,1390,1412,1196,1303,1658,1382,1384,15,27.26,27.717,27.717,28.174,2490,1187,2491,617,35,0,1
31.519,30.151,5.561,4.018,1.894,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.163,0.12,-4.986,0.096,1.904,0.199,1.911,0.185,3.363,0.0,2.551,-0.0,1.802,-0.0,1.5,-0.0,1.026,0.001,45.296,39.342,37.095,968,1391,1412,1252,1307,1672,1387,1388,15,27.26,28.174,28.174,28.633,2491,1187,2492,618,29,0,1
