THERM_FPGA,THERM_DCB,VMON_6V,VMON_3V7,VMON_1V8,VMON_3V3D,VMON_2V5D,VMON_1V2D,VMON_VCC_FLASH0,VMON_VCC_FLASH1,VMON_VCC_FLASH2,VMON_VCC_FLASH3,VMON_3V3_HK,VMON_GND,GND_RES,GND_RES2,SPE_P5_V,SPE_P5_C,SPE_N5_V,SPE_N5_C,SPE_1VA8_V,SPE_1VA8_C,SPE_1VAD8_V,SPE_1VAD8_C,SPE_3VD3_V,SPE_3VD3_C,SPE_2VD5_V,SPE_2VD5_C,SPE_1VD8_V,SPE_1VD8_C,SPE_1VD5_V,SPE_1VD5_C,SPE_1VD0_V,SPE_1VD0_C,SPE_FPGA_T,SPE_ADC0_T,SPE_ADC1_T,PFPS_DCB_1V8,PFPS_DCB_3V7,PFPS_DCB_5V,PFPS_SPE_1V5,PFPS_SPE_2V3,PFPS_SPE_3V6,PFPS_SPE_P5V5,PFPS_SPE_N5V5,PFPS_MOT_A,PFPS_PA3_T,PFPS_PA2_T,PFPS_PA1_T,PFPS_PA0_T,PFPS_CAR_T,PFPS_PFPS_T,PFPS_BAT_T,VMON_PDU_COMMS,VMON_PDU_PFPS,VMON_PDU_CAROUSEL,ADC_PWR
44.851,43.397,5.574,4.018,1.88,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.15,0.126,-4.986,0.105,1.904,0.2,1.901,0.207,3.36,0.0,2.551,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,56.985,51.081,49.011,968,1392,1416,1248,1313,1683,1389,1389,15,30.473,28.174,29.092,27.26,2488,865,2488,571,33,0,1
44.9,43.445,5.574,4.018,1.88,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.163,0.115,-4.996,0.092,1.901,0.2,1.909,0.19,3.36,0.0,2.551,-0.0,1.8,-0.0,1.5,-0.0,1.026,0.001,56.929,51.02,48.949,968,1392,1416,1250,1314,1682,1390,1391,15,30.473,28.174,29.092,27.26,2488,865,2488,574,33,0,1
44.9,43.445,5.574,4.016,1.878,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.163,0.116,-4.996,0.093,1.901,0.2,1.911,0.18,3.36,0.0,2.551,-0.0,1.8,-0.0,1.5,-0.0,1.013,0.002,56.929,51.213,49.133,967,1391,1415,1190,1309,1665,1385,1386,15,30.012,28.174,29.092,26.804,2487,864,2487,573,40,0,1
44.9,43.445,5.576,4.018,1.88,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.163,0.116,-4.996,0.093,1.901,0.2,1.911,0.18,3.36,0.0,2.551,-0.0,1.8,-0.0,1.5,-0.0,1.026,0.001,57.146,51.213,48.949,968,1392,1416,1250,1315,1683,1390,1391,15,30.473,28.633,29.092,27.26,2487,865,2488,574,32,0,1
44.949,43.493,5.576,4.016,1.878,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.163,0.116,-4.996,0.093,1.901,0.2,1.911,0.18,3.36,0.0,2.551,-0.0,1.8,-0.0,1.5,-0.0,1.013,0.002,57.146,51.213,48.949,968,1392,1416,1215,1310,1668,1385,1386,15,30.012,27.717,28.633,26.804,2487,864,2486,573,40,0,1
44.949,43.493,5.576,4.016,1.88,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.163,0.116,-4.996,0.093,1.901,0.2,1.911,0.181,3.36,0.0,2.551,-0.0,1.8,-0.0,1.5,-0.0,1.026,0.001,57.146,51.213,48.949,968,1392,1416,1250,1315,1683,1390,1391,15,30.473,28.633,29.092,27.26,2488,864,2488,572,32,0,1
44.949,43.493,5.576,4.018,1.88,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.163,0.117,-4.996,0.094,1.901,0.2,1.911,0.182,3.36,0.0,2.551,-0.0,1.8,-0.0,1.5,-0.0,1.026,0.001,57.146,51.213,49.133,968,1392,1416,1250,1314,1682,1390,1390,15,30.473,28.633,29.092,27.26,2488,864,2488,573,32,0,1
44.998,43.493,5.576,4.016,1.884,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.163,0.117,-4.996,0.094,1.904,0.2,1.911,0.182,3.36,0.0,2.551,-0.0,1.8,-0.0,1.5,-0.0,1.026,0.001,57.201,51.274,49.195,968,1392,1416,1250,1314,1682,1390,1391,15,30.473,28.633,29.092,27.26,2488,864,2487,575,32,0,1
44.998,43.541,5.576,4.018,1.88,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.163,0.118,-4.996,0.094,1.901,0.2,1.911,0.182,3.36,0.0,2.551,-0.0,1.802,-0.0,1.5,-0.0,1.026,0.001,57.146,51.213,49.133,968,1392,1416,1250,1315,1684,1390,1390,15,30.473,28.633,29.092,27.26,2488,864,2488,570,32,0,1
44.998,43.541,5.576,4.02,1.878,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.163,0.118,-4.996,0.094,1.901,0.2,1.911,0.183,3.36,0.0,2.551,-0.0,1.8,-0.0,1.5,-0.0,1.026,0.001,57.364,51.213,49.133,968,1392,1416,1250,1315,1683,1390,1391,15,30.473,28.633,29.551,27.26,2488,863,2488,570,32,0,1
45.048,43.541,5.576,4.018,1.88,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.163,0.118,-4.996,0.094,1.904,0.2,1.911,0.182,3.36,0.0,2.551,-0.0,1.8,-0.0,1.5,-0.0,1.026,0.001,57.419,51.274,49.195,968,1392,1416,1250,1314,1682,1390,1390,15,30.473,28.633,29.092,27.26,2488,863,2488,572,32,0,1
45.048,43.589,5.574,4.014,1.879,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.15,0.119,-4.986,0.095,1.901,0.2,1.911,0.184,3.36,0.0,2.551,-0.0,1.8,-0.0,1.5,-0.0,1.013,0.002,57.364,51.407,49.319,967,1391,1415,1191,1310,1667,1385,1386,15,30.473,28.174,29.092,27.26,2487,862,2487,572,39,0,1
45.048,43.589,5.576,4.018,1.884,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.163,0.119,-4.996,0.095,1.901,0.2,1.911,0.184,3.36,0.0,2.551,-0.0,1.8,-0.0,1.5,-0.0,1.026,0.001,57.364,51.213,49.133,968,1392,1416,1250,1314,1682,1390,1390,15,30.935,28.633,29.551,27.26,2488,863,2488,573,32,0,1
45.097,43.589,5.576,4.018,1.88,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.15,0.12,-4.986,0.096,1.901,0.2,1.909,0.184,3.36,0.0,2.551,-0.0,1.8,-0.0,1.5,-0.0,1.013,0.002,57.364,51.407,49.319,967,1391,1415,1191,1309,1666,1385,1386,15,30.935,28.633,29.551,27.717,2488,863,2488,573,32,0,1
45.097,43.638,5.576,4.018,1.88,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.163,0.12,-4.996,0.096,1.904,0.2,1.911,0.184,3.36,0.0,2.551,-0.0,1.8,-0.0,1.5,-0.0,1.026,0.001,57.419,51.468,49.195,968,1392,1416,1250,1315,1684,1390,1391,15,30.473,28.633,29.551,27.26,2488,862,2487,573,32,0,1
45.097,43.638,5.576,4.018,1.88,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.236,0.0,0.0,0.0,5.163,0.122,-4.996,0.098,1.904,0.2,1.911,0.185,3.36,0.0,2.551,-0.0,1.8,-0.0,1.5,-0.0,1.026,0.001,57.638,51.468,49.38,968,1392,1416,1249,1315,1683,1390,1390,15,30.935,28.633,29.551,27.717,2488,862,2488,573,32,0,1
45.146,43.638,5.576,4.018,1.88,3.244,2.45,1.196,0.0,0.0,0.0,0.0,3.238,0.0,0.0,0.0,5.163,0.122,-4.986,0.098,1.901,0.2,1.911,0.185,3.36,0.0,2.551,-0.0,1.8,-0.0,1.5,-0.0,1.023,0.001,57.583,51.407,49.319,968,1392,1416,1249,1314,1682,1390,1390,15,30.935,28.633,29.551,27.717,2488,862,2487,571,32,0,1
